#{"gym_version": "0.9.3", "env_id": "BreakoutNoFrameskip-v4", "t_start": 1511316681.361084}
r,l,t
2.0,200,7.021676
0.0,125,9.019529
0.0,127,11.023756
0.0,123,12.97338
3.0,247,17.1487
0.0,129,19.254808
0.0,129,21.286913
0.0,127,23.306568
2.0,220,27.026523
4.0,266,31.42565
0.0,127,33.471812
2.0,184,36.515738
2.0,220,40.276964
2.0,222,43.93781
0.0,129,46.0158
6.0,396,52.900169
0.0,125,54.883814
0.0,129,56.923879
3.0,230,60.67104
0.0,127,62.770441
0.0,129,64.691849
5.0,337,70.466137
1.0,173,73.270473
5.0,331,78.856138
0.0,127,80.922426
0.0,127,82.900372
0.0,125,84.796857
2.0,202,88.132444
4.0,299,93.024203
0.0,127,95.028112
6.0,380,105.327633
0.0,127,108.484143
2.0,202,114.228863
9.0,404,125.700899
8.0,372,136.561089
1.0,176,141.425854
0.0,125,144.885544
1.0,159,149.239453
0.0,127,152.616852
2.0,198,158.110605
3.0,248,165.125705
2.0,202,170.871962
2.0,205,176.5148
1.0,178,181.5257
4.0,298,189.914949
0.0,127,193.180349
9.0,398,204.372991
5.0,350,214.158526
3.0,230,220.521995
0.0,125,223.913461
2.0,183,228.938586
3.0,236,235.516917
9.0,405,247.198136
6.0,402,258.805428
3.0,232,265.229612
1.0,155,269.472399
1.0,155,273.80093
1.0,175,278.635948
2.0,188,283.690845
0.0,129,287.003788
3.0,214,292.88859
4.0,265,300.194254
4.0,278,308.015264
2.0,204,313.527208
1.0,173,318.29276
2.0,201,323.943058
9.0,401,335.290557
2.0,185,340.41327
1.0,176,345.350153
0.0,129,348.878585
5.0,350,358.633421
3.0,249,365.415831
12.0,460,378.539514
11.0,387,389.365346
3.0,228,395.431299
4.0,244,402.102485
9.0,330,411.259
5.0,310,419.912338
6.0,370,430.449158
13.0,629,448.347322
7.0,444,460.763086
4.0,283,468.226002
6.0,344,477.796954
9.0,516,492.213065
11.0,472,505.541867
7.0,432,517.477076
16.0,470,530.408655
10.0,361,540.477695
13.0,351,550.151033
11.0,576,566.617207
5.0,311,575.199931
7.0,473,588.389621
6.0,341,597.557203
8.0,502,611.589396
7.0,411,623.168094
16.0,620,640.338272
21.0,699,660.129732
11.0,528,674.959755
12.0,583,691.646523
22.0,718,711.837792
11.0,561,727.616534
23.0,762,749.065617
16.0,540,764.281368
14.0,422,776.180714
10.0,381,786.616432
11.0,541,801.75275
11.0,271,809.353566
22.0,774,831.402757
32.0,888,856.81027
20.0,603,873.951455
15.0,589,890.612682
16.0,726,911.102159
14.0,628,928.657614
14.0,521,943.145049
14.0,601,959.765598
44.0,1099,990.805674
18.0,616,1007.874254
17.0,479,1020.918429
31.0,899,1046.122611
16.0,620,1063.436917
22.0,789,1085.37197
25.0,815,1108.267708
44.0,1081,1138.60991
18.0,764,1160.150785
48.0,1262,1196.185622
22.0,730,1216.396455
37.0,797,1238.785204
52.0,1449,1279.99623
23.0,882,1304.362136
53.0,1182,1337.558018
33.0,1064,1367.679004
49.0,1111,1398.888065
27.0,946,1425.34142
33.0,940,1451.421481
49.0,1220,1485.46011
39.0,877,1509.533285
49.0,1174,1542.528242
13.0,656,1560.930407
74.0,1595,1605.871475
49.0,972,1632.53797
82.0,1466,1673.851399
37.0,904,1699.007409
43.0,1208,1732.933409
43.0,1125,1764.746028
44.0,1135,1796.782502
109.0,1324,1834.354766
96.0,1702,1882.440537
98.0,1567,1926.807795
167.0,828,1949.750895
72.0,1413,1989.844953
74.0,1479,2031.207074
47.0,1145,2063.303874
158.0,1747,2112.508245
40.0,1102,2143.392447
156.0,1414,2183.073819
73.0,1198,2216.711864
175.0,1938,2270.429067
61.0,1064,2300.287072
110.0,1182,2333.367772
113.0,1389,2372.447303
110.0,1489,2414.134562
153.0,1819,2465.068772
92.0,1503,2506.659748
240.0,1888,2559.171373
217.0,1910,2613.008474
198.0,1803,2663.305155
182.0,1582,2707.457559
284.0,2062,2765.104149
346.0,1987,2820.88076
240.0,1855,2873.029365
354.0,2135,2932.151421
392.0,2913,3013.42471
295.0,1805,3063.543635
407.0,1915,3116.57728
369.0,2560,3188.318193
362.0,1839,3239.138673
330.0,1671,3285.272617
330.0,12629,3636.342337
376.0,1988,3691.802339
267.0,1591,3735.84539
323.0,1580,3779.776406
320.0,2043,3836.151391
413.0,2187,3896.682349
402.0,2106,3955.452202
392.0,2336,4020.284547
398.0,2649,4093.807007
417.0,2682,4167.879477
389.0,2127,4226.590357
424.0,2703,4300.754806
424.0,2886,4379.853273
131.0,1165,4412.284519
353.0,2530,4482.009923
349.0,2749,4557.913976
420.0,3243,4647.535923
405.0,2331,4712.418133
394.0,2473,4780.547114
421.0,3909,4888.837031
362.0,1639,4933.717562
394.0,3321,5025.503772
432.0,3747,5129.056293
427.0,6934,5320.548808
414.0,1976,5374.957417
421.0,3370,5468.264179
409.0,2830,5546.135604
375.0,3472,5642.235553
399.0,2491,5710.725952
424.0,3040,5794.592703
673.0,6123,5963.932915
421.0,8107,6186.642241
424.0,3015,6269.416611
427.0,2273,6332.284168
424.0,3008,6415.255381
413.0,2080,6471.974902
419.0,2664,6546.013694
393.0,2216,6607.660588
388.0,2232,6668.73112
419.0,1874,6719.986326
771.0,5298,6865.702968
421.0,9663,7131.851486
428.0,3183,7218.672913
398.0,2105,7276.478149
