#{"t_start": 1511316779.5467901, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,127,7.590311
0.0,127,11.637983
3.0,250,19.032961
0.0,127,22.501116
0.0,125,26.016706
2.0,204,31.860949
0.0,129,35.456976
0.0,127,38.945784
0.0,129,42.442414
6.0,376,53.932425
0.0,127,57.329085
0.0,129,60.890645
0.0,129,64.449637
2.0,224,71.010033
3.0,235,77.957923
0.0,129,81.598476
2.0,199,87.444771
0.0,127,90.969576
1.0,177,95.965591
3.0,234,102.686896
3.0,247,109.835215
3.0,268,117.58955
2.0,202,123.451743
3.0,250,130.920464
0.0,127,134.334371
5.0,350,144.544008
0.0,129,148.0662
2.0,198,153.674673
1.0,155,157.960826
2.0,198,163.655848
0.0,125,167.136717
5.0,352,177.586547
0.0,129,181.129645
0.0,129,184.739863
0.0,129,188.168791
5.0,350,198.813062
2.0,202,204.715675
0.0,129,208.163996
5.0,350,218.504159
2.0,202,224.387628
0.0,129,227.687655
0.0,129,231.218135
0.0,123,234.644605
0.0,129,238.235274
2.0,202,244.015712
5.0,350,254.364098
0.0,129,257.946997
11.0,487,272.71565
9.0,404,284.766268
0.0,125,288.225826
0.0,127,291.722439
0.0,127,295.423179
0.0,129,299.055441
0.0,127,302.662819
3.0,248,309.915547
0.0,129,313.499954
5.0,352,323.926754
6.0,395,335.925566
2.0,203,341.80317
5.0,350,352.093583
10.0,434,364.629183
5.0,350,374.969414
1.0,176,380.205686
3.0,252,387.644538
1.0,155,391.927948
7.0,321,401.433935
1.0,175,406.41628
1.0,176,411.549236
1.0,155,415.961561
0.0,129,419.641554
1.0,159,424.058357
0.0,127,427.480329
2.0,188,432.990669
3.0,248,439.996765
3.0,230,446.678662
4.0,297,455.381965
5.0,328,464.874284
4.0,297,473.609579
12.0,493,488.312177
2.0,225,494.597639
7.0,406,506.358797
3.0,218,512.579443
3.0,214,518.832404
8.0,279,526.83187
3.0,270,534.623139
2.0,220,540.796046
4.0,264,548.334562
7.0,428,560.940042
1.0,157,565.17286
6.0,366,575.829151
7.0,427,588.177857
8.0,505,602.996856
13.0,494,617.479968
14.0,506,632.085485
5.0,319,641.427007
9.0,491,655.797506
25.0,752,677.709346
9.0,455,690.900042
6.0,348,701.018277
18.0,393,712.175111
22.0,738,733.799185
8.0,422,746.322388
3.0,218,752.401712
11.0,557,768.810196
8.0,451,781.924434
29.0,756,804.210921
14.0,611,822.106795
16.0,533,837.602398
20.0,660,856.643365
14.0,695,876.865664
7.0,401,888.639979
16.0,565,905.159714
15.0,663,924.479073
10.0,503,938.873009
18.0,652,958.331554
15.0,615,976.257649
16.0,701,996.574699
17.0,739,1018.235009
18.0,599,1035.77571
20.0,658,1055.165997
14.0,637,1073.448
11.0,521,1088.60603
18.0,528,1103.621648
15.0,580,1120.262813
19.0,703,1140.841847
9.0,444,1153.659767
21.0,670,1173.242871
17.0,631,1191.436861
18.0,665,1210.711537
17.0,501,1225.211891
19.0,680,1244.982863
16.0,735,1266.37123
19.0,714,1287.200201
17.0,747,1308.975723
25.0,711,1329.666181
13.0,572,1346.227713
15.0,689,1366.231728
23.0,620,1384.2007
21.0,433,1396.570017
33.0,987,1425.681273
38.0,1038,1456.196032
54.0,1004,1485.280868
37.0,1145,1518.56371
31.0,623,1536.384814
28.0,726,1557.477706
66.0,1483,1600.433776
31.0,859,1625.488516
46.0,1186,1660.215229
39.0,1115,1692.85561
22.0,804,1716.117971
29.0,927,1742.78441
81.0,1365,1782.288308
35.0,1034,1812.366776
64.0,1256,1848.984251
26.0,789,1871.931708
33.0,567,1888.239415
23.0,956,1915.846379
48.0,1101,1947.941245
41.0,1011,1977.369477
69.0,1234,2012.997134
56.0,1196,2047.874504
52.0,987,2076.254156
42.0,945,2103.558421
76.0,1478,2146.654648
23.0,744,2168.234898
74.0,1239,2203.956333
52.0,999,2232.987016
90.0,1312,2270.692824
