entloss,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,optimgain,TimestepsSoFar,entropy,surrgain
,9,0.00124998,0.00238525867462,0.555555555556,44.6666666667,1.8297019004821777,9,0.00473692,402,1.38504,0.00473692
,23,8.35027e-05,0.00129044055939,0.521739130435,44.347826087,3.0124740600585938,14,2.5332e-06,1020,1.38553,2.5332e-06
,38,1.404e-05,-0.000400066375732,0.421052631579,39.7894736842,4.229354619979858,15,0.000658728,1512,1.38571,0.000658728
,60,1.69297e-05,-0.00250351428986,0.175,29.65,5.47588586807251,22,0.000223259,2038,1.38579,0.000223259
,77,0.000235052,-0.000211954116821,0.1,26.525,6.655812978744507,17,0.000916295,2550,1.3855,0.000916295
,94,0.000126719,-0.00167727470398,0.15,28.9,7.8634867668151855,17,0.00150237,3058,1.38601,0.00150237
,112,0.000139456,0.00048828125,0.125,28.2,9.064152717590332,18,0.00105772,3563,1.38562,0.00105772
,129,0.00049366,-0.00215351581573,0.125,28.675,10.2215735912323,17,0.00499493,4090,1.38465,0.00499493
,143,0.000170691,-0.000286221504211,0.2,31.125,11.409958839416504,14,0.00177346,4603,1.38516,0.00177346
,162,0.00103219,0.000989615917206,0.2,29.725,12.601943492889404,19,0.00124561,5120,1.38425,0.00124561
,181,0.000474185,-0.000436544418335,0.125,26.7,13.845601558685303,19,0.00354519,5625,1.38305,0.00354519
,198,0.000339511,0.000380158424377,0.15,28.25,15.074000835418701,17,0.00148681,6130,1.38069,0.00148681
,213,0.000636269,-0.00200533866882,0.2,30.075,16.25611424446106,15,0.00516671,6646,1.38096,0.00516671
,229,0.00103597,-0.00287306308746,0.275,32.7,17.432379484176636,16,0.00462283,7161,1.38018,0.00462283
,245,0.00109867,0.000647008419037,0.225,30.95,18.61299753189087,16,0.00600816,7674,1.38332,0.00600816
,260,0.00051261,-0.000617980957031,0.275,33.625,19.797706842422485,15,0.00278579,8150,1.38424,0.00278579
,275,0.0011481,0.00470900535583,0.2,30.6,20.954285860061646,15,0.00570696,8567,1.38301,0.00570696
,290,0.000752769,0.00058925151825,0.3,34.0,22.15182662010193,15,0.00241472,9195,1.38051,0.00241472
,305,0.000649298,-0.002121925354,0.275,33.45,23.332033395767212,15,0.00209669,9677,1.37867,0.00209669
,321,0.000787043,0.00175327062607,0.2,31.4,24.52387285232544,16,0.00930623,10202,1.3743,0.00930623
,336,0.00102581,-0.00169622898102,0.275,34.15,25.75608801841736,15,0.00904749,10743,1.37621,0.00904749
,349,0.000361503,0.00167065858841,0.25,31.425,26.97880721092224,13,0.00654694,11187,1.37338,0.00654694
,366,0.00045786,0.0018002986908,0.3,34.15,28.16196370124817,17,0.00518456,11760,1.37199,0.00518456
,384,0.00126745,0.00125616788864,0.225,31.0,29.38348889350891,18,0.00406034,12254,1.37892,0.00406034
,403,0.000886544,0.00273579359055,0.2,29.8,30.618105173110962,19,0.00928106,12792,1.37359,0.00928106
,420,0.000354312,-0.000442504882812,0.2,29.05,31.826167583465576,17,0.00263792,13296,1.37629,0.00263792
,436,0.00027434,0.000683486461639,0.2,29.8,33.03572201728821,16,0.0045433,13823,1.37654,0.0045433
,453,0.000947548,0.00193482637405,0.2,30.125,34.27882766723633,17,0.00932958,14282,1.3768,0.00932958
,468,0.000898172,0.00225132703781,0.2,30.775,35.52499032020569,15,0.0114009,14827,1.37751,0.0114009
,484,0.000364814,-0.000737905502319,0.25,31.925,36.75643539428711,16,0.00590273,15354,1.37672,0.00590273
,503,0.000783275,0.00144743919373,0.175,28.6,38.00561475753784,19,0.00913819,15856,1.37489,0.00913819
,521,0.00085389,-0.00171291828156,0.15,28.175,39.245874643325806,18,0.0103367,16384,1.37524,0.0103367
,536,0.000307341,0.00106585025787,0.2,29.65,40.51802468299866,15,0.00435266,16883,1.37375,0.00435266
,549,0.0012326,-0.0025669336319,0.25,32.125,41.72148156166077,13,0.0116065,17397,1.36725,0.0116065
,564,0.000464038,0.000515878200531,0.35,35.475,42.935672998428345,15,0.00814654,17919,1.36751,0.00814654
,579,0.000696737,-0.000129461288452,0.325,34.875,44.168970346450806,15,0.00324893,18393,1.36996,0.00324893
,599,0.000722353,0.00432556867599,0.2,28.875,45.40352272987366,20,0.00980962,18931,1.36913,0.00980962
,616,0.000773627,-0.00203597545624,0.15,28.05,46.624866247177124,17,0.0105669,19446,1.36789,0.0105669
,632,0.0013496,-0.00141370296478,0.2,30.3,47.840715169906616,16,0.0133416,19960,1.36477,0.0133416
,651,0.0010814,0.00193750858307,0.15,28.275,49.07770490646362,19,0.0132444,20464,1.37452,0.0132444
,667,0.00108551,-0.00317215919495,0.2,30.225,50.30008554458618,16,0.0107931,20982,1.3706,0.0107931
