#{"gym_version": "0.9.3", "t_start": 1511399974.4086268, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,173,2.179342
5.0,337,2.827889
1.0,155,3.426795
0.0,127,3.664599
1.0,173,4.031972
2.0,222,4.678953
0.0,127,4.938539
0.0,129,5.188032
1.0,173,5.513688
0.0,127,5.976193
3.0,252,6.487387
0.0,127,6.728554
0.0,127,7.205062
1.0,173,7.550715
0.0,127,7.79604
0.0,129,8.046798
3.0,251,8.801827
4.0,321,9.440984
3.0,252,10.115969
1.0,155,10.431876
0.0,129,10.677467
1.0,154,11.201877
3.0,248,11.65958
2.0,203,12.051675
0.0,129,12.499503
2.0,203,12.882533
5.0,346,13.756214
1.0,177,14.097169
2.0,203,14.49781
2.0,200,15.083998
0.0,129,15.320842
3.0,250,15.80248
0.0,127,16.229143
0.0,129,16.48901
0.0,125,16.72138
0.0,127,16.969741
3.0,254,17.683873
2.0,183,18.030012
0.0,129,18.267779
1.0,177,18.81577
0.0,127,19.060737
1.0,169,19.398376
1.0,155,19.694657
2.0,222,20.328027
3.0,229,20.759591
0.0,127,20.997467
2.0,222,21.609325
1.0,175,21.945513
5.0,315,22.763141
2.0,224,23.198017
1.0,157,23.495906
0.0,127,23.949649
2.0,222,24.380508
3.0,247,25.053176
2.0,186,25.432266
3.0,252,25.912444
0.0,127,26.341655
0.0,125,26.582788
1.0,173,26.944662
4.0,281,27.702543
3.0,214,28.163045
0.0,129,28.426823
4.0,321,29.293916
0.0,127,29.572603
0.0,129,29.819909
3.0,222,30.486387
0.0,127,30.727731
1.0,174,31.062633
1.0,155,31.376143
1.0,155,31.863637
3.0,238,32.337614
1.0,173,32.902139
1.0,155,33.205734
0.0,127,33.46789
0.0,127,33.727253
4.0,262,34.447798
2.0,227,34.913915
1.0,155,35.228585
0.0,129,35.683358
0.0,129,35.949081
1.0,172,36.299708
0.0,123,36.554874
1.0,155,37.06033
1.0,153,37.362473
9.0,399,38.428252
1.0,171,38.737813
2.0,206,39.085502
1.0,175,39.582045
0.0,127,39.795001
3.0,254,40.235866
0.0,125,40.653408
4.0,294,41.158708
1.0,173,41.449696
0.0,127,41.866848
3.0,237,42.285034
0.0,129,42.49818
2.0,202,43.057739
1.0,175,43.359246
3.0,252,43.799953
2.0,201,44.346612
1.0,155,44.612676
0.0,125,44.830856
2.0,201,45.402314
2.0,224,45.778468
3.0,250,46.427643
1.0,171,46.716018
0.0,129,46.946162
2.0,202,47.293309
0.0,123,47.702909
3.0,249,48.130905
1.0,157,48.394343
0.0,129,48.82222
2.0,185,49.13595
3.0,251,49.561596
0.0,127,49.972377
0.0,125,50.17697
4.0,304,50.68883
0.0,127,51.093283
1.0,175,51.374461
3.0,270,51.844683
1.0,173,52.356165
0.0,125,52.569346
0.0,125,52.786893
2.0,220,53.376834
3.0,240,53.78062
0.0,129,54.003481
1.0,156,54.495357
3.0,273,54.968415
3.0,248,55.60914
1.0,155,55.869676
0.0,129,56.091413
5.0,300,56.802213
0.0,129,57.026141
0.0,125,57.234779
2.0,230,57.629121
1.0,173,58.137724
1.0,176,58.436294
0.0,129,58.656772
2.0,204,59.209742
3.0,254,59.653831
3.0,273,60.312032
0.0,129,60.522383
0.0,125,60.740832
1.0,174,61.04632
0.0,127,61.463939
0.0,123,61.661082
4.0,263,62.118134
1.0,155,62.588718
0.0,127,62.803794
4.0,260,63.248841
0.0,125,63.662253
6.0,365,64.285099
0.0,127,64.498142
8.0,279,65.174403
1.0,168,65.472065
2.0,200,66.014912
2.0,206,66.369027
1.0,173,66.66949
3.0,217,67.240361
1.0,177,67.537331
0.0,127,67.754683
1.0,158,68.015896
2.0,183,68.532296
1.0,156,68.809394
1.0,155,69.069396
1.0,173,69.556112
0.0,127,69.766791
0.0,129,69.982744
2.0,199,70.328957
0.0,125,70.75881
1.0,155,71.047385
2.0,180,71.356506
4.0,263,71.99338
0.0,125,72.196759
2.0,226,72.579987
