#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.838764, "gym_version": "0.9.3"}
r,l,t
-21.0,849,15.579041
-19.0,1236,34.725957
-20.0,876,48.057167
-21.0,847,61.001208
-20.0,1051,82.645709
-20.0,865,105.554077
-20.0,978,131.253693
-20.0,918,155.733403
-20.0,1002,182.443738
-20.0,888,206.111047
-17.0,1418,243.695987
-21.0,973,269.336847
-18.0,1249,302.183454
-19.0,1079,330.76066
-19.0,979,356.874014
-15.0,1541,397.614249
-17.0,1671,442.052818
-16.0,1518,482.404378
-9.0,2421,546.332235
-11.0,2237,606.266173
-5.0,2567,674.665231
-2.0,2749,747.740829
17.0,1752,794.174401
7.0,2457,859.424112
-1.0,2948,937.938331
14.0,1968,990.833662
19.0,1730,1037.149213
13.0,2507,1103.701946
18.0,2079,1159.102748
20.0,2003,1212.48205
20.0,1565,1254.351646
19.0,2042,1309.073867
18.0,2249,1369.539425
20.0,2006,1423.057307
18.0,1959,1475.42266
20.0,2001,1529.201113
20.0,1564,1570.574758
20.0,2005,1623.482305
20.0,2007,1677.159267
21.0,1971,1729.463793
18.0,1849,1778.975359
14.0,1917,1830.341152
20.0,2003,1883.735813
19.0,1706,1929.26053
18.0,2079,1984.584254
20.0,1596,2027.193851
20.0,1562,2068.970376
17.0,2740,2141.711221
20.0,1567,2183.052996
19.0,2035,2237.570856
20.0,2089,2293.075023
20.0,1591,2335.394782
20.0,1567,2377.450572
20.0,2001,2431.091646
20.0,1624,2474.853916
20.0,2041,2529.693938
18.0,2187,2588.318315
18.0,2088,2644.140941
20.0,2001,2697.885804
19.0,2038,2751.985578
17.0,2238,2811.556346
20.0,2789,2885.700358
20.0,2005,2939.492215
20.0,2003,2992.559203
20.0,1564,3034.374079
20.0,2792,3108.580997
18.0,2121,3158.463636
19.0,2042,3198.076611
20.0,2787,3252.225488
20.0,2788,3306.550713
11.0,2648,3358.389443
19.0,2102,3399.354624
21.0,1993,3438.261913
20.0,2004,3476.91115
18.0,2855,3532.507519
19.0,1624,3564.158949
20.0,2003,3602.97771
20.0,1564,3633.628287
20.0,1594,3664.650013
19.0,1633,3696.537586
20.0,2002,3735.43034
19.0,2061,3775.800181
19.0,2066,3816.10727
20.0,1829,3851.541884
20.0,1561,3882.21484
20.0,2004,3921.700019
20.0,2005,3960.558652
18.0,2165,4002.59712
19.0,2140,4044.504919
18.0,2180,4086.888557
20.0,2791,4141.179778
20.0,2002,4179.917832
20.0,1590,4210.98183
20.0,2004,4250.020315
15.0,2434,4297.230857
20.0,1562,4327.748926
20.0,2046,4367.455641
19.0,2916,4423.890517
18.0,2069,4464.046925
20.0,2001,4503.582621
17.0,1875,4540.125403
20.0,1561,4570.39356
20.0,2794,4624.513532
20.0,2327,4669.584368
19.0,2145,4711.756083
20.0,2007,4750.913515
20.0,1635,4782.889856
18.0,2285,4827.130205
16.0,1952,4865.493378
19.0,1632,4897.040415
19.0,2053,4937.084714
20.0,2007,4976.064513
17.0,2226,5019.055828
18.0,2322,5064.403954
20.0,1564,5094.787786
20.0,1608,5125.979642
19.0,2146,5168.208065
20.0,1562,5198.632844
19.0,2058,5238.497075
17.0,2904,5295.070505
20.0,1592,5326.006796
21.0,2758,5380.232816
20.0,1621,5411.55385
20.0,2001,5450.431755
20.0,2762,5504.342602
20.0,2035,5543.77679
20.0,2001,5582.523
20.0,2002,5621.527789
20.0,2787,5675.721232
20.0,1609,5706.748695
21.0,1990,5745.37244
19.0,2215,5788.520064
20.0,2819,5843.290204
18.0,2261,5887.355595
19.0,2049,5927.149182
16.0,2594,5977.72395
20.0,1563,6008.238009
20.0,1566,6038.778695
18.0,2248,6082.453465
17.0,2283,6126.867536
20.0,1566,6157.286727
19.0,2199,6200.091762
19.0,2046,6239.660241
20.0,2007,6278.676588
19.0,2112,6319.542252
20.0,1565,6349.918894
17.0,2410,6396.614168
20.0,1562,6427.011253
20.0,2007,6465.793779
20.0,2067,6506.012006
19.0,2050,6545.863093
20.0,1605,6577.043487
18.0,2794,6631.235831
20.0,2789,6685.747528
20.0,1668,6718.071052
20.0,2003,6756.696837
19.0,2447,6804.589268
20.0,2794,6858.885788
20.0,2001,6897.533802
18.0,2430,6944.534021
21.0,1996,6983.134634
19.0,1696,7016.193315
20.0,2833,7071.445077
20.0,2775,7125.160501
20.0,2001,7163.903003
17.0,2326,7208.884839
20.0,1561,7239.233464
20.0,2772,7292.85204
16.0,2445,7340.20543
20.0,2787,7394.471361
21.0,1992,7433.139754
20.0,1563,7463.55007
