nupdates,policy_loss,explained_variance,total_timesteps,fps,policy_entropy,value_loss
1,-0.030538171529769897,-9.935952186584473,640,676,1.7602230310440063,0.0031725256703794003
2,0.003884539008140564,-1.0434811115264893,1280,992,1.7671902179718018,0.00024534942349419
3,-0.9945788383483887,0.0012406706809997559,1920,1188,1.7744369506835938,0.25170961022377014
4,0.28405699133872986,0.017109334468841553,2560,1334,1.7790416479110718,0.0237642303109169
5,-0.9112603664398193,-0.004020094871520996,3200,1430,1.7833783626556396,0.21093444526195526
6,0.3133569061756134,-0.004310965538024902,3840,1498,1.781960129737854,0.03605237975716591
7,-0.5049595236778259,0.010532259941101074,4480,1559,1.7876651287078857,0.128205344080925
8,0.0034720245748758316,0.0070043206214904785,5120,1584,1.7854303121566772,0.07302668690681458
9,0.20715557038784027,0.0012613534927368164,5760,1613,1.7825578451156616,0.05003433674573898
10,-0.6780282855033875,0.004627645015716553,6400,1644,1.7832540273666382,0.17095500230789185
11,0.45868685841560364,0.004617094993591309,7040,1650,1.7476539611816406,0.07621129602193832
12,-0.385728657245636,0.0032376646995544434,7680,1684,1.7743492126464844,0.13608494400978088
13,0.03801850602030754,0.00133591890335083,8320,1709,1.7735440731048584,0.05592948943376541
14,-0.1490669548511505,0.00538867712020874,8960,1734,1.7737582921981812,0.06996270269155502
15,-0.2133614420890808,0.005772113800048828,9600,1760,1.7702785730361938,0.09113320708274841
16,0.24459785223007202,-0.004275083541870117,10240,1784,1.7613208293914795,0.0767284631729126
17,-0.29519984126091003,0.0072994232177734375,10880,1805,1.7622591257095337,0.10408364236354828
18,0.09174900501966476,-0.002297520637512207,11520,1824,1.7520517110824585,0.06767982244491577
19,0.0832713395357132,0.0021062493324279785,12160,1841,1.7475827932357788,0.08850967884063721
20,0.10283638536930084,0.004517018795013428,12800,1848,1.7517598867416382,0.06802696734666824
21,0.055252108722925186,0.0053414106369018555,13440,1858,1.7570865154266357,0.06568719446659088
22,-0.11414428055286407,0.008066177368164062,14080,1870,1.7687342166900635,0.12320327758789062
23,-0.06460615992546082,0.002436220645904541,14720,1878,1.7769492864608765,0.07109929621219635
