#{"t_start": 1511327527.1781545, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,843,27.557384
-21.0,881,51.746259
-20.0,896,76.44996
-21.0,758,97.462908
-21.0,762,118.618281
-20.0,904,143.606074
-21.0,837,166.442467
-20.0,1009,194.199142
-21.0,803,216.277143
-19.0,934,242.240415
-19.0,914,267.058889
-21.0,776,288.842376
-20.0,1001,316.343789
-19.0,1010,344.445239
-16.0,1437,384.277505
-18.0,1118,415.165425
-21.0,897,439.91376
-19.0,1052,468.804261
-20.0,1481,509.617225
-15.0,2029,565.751277
-14.0,2232,627.963579
-19.0,1810,677.98965
-20.0,834,701.304888
-21.0,760,722.570054
-21.0,778,744.36067
-18.0,1719,791.878
-10.0,3089,877.460239
-14.0,2508,946.89863
18.0,2162,1007.621958
16.0,1939,1061.37659
13.0,2198,1122.513675
18.0,2183,1183.112819
20.0,1567,1226.521042
16.0,2466,1295.018826
16.0,2240,1356.989826
20.0,2069,1414.39295
19.0,1630,1459.220613
17.0,1853,1510.211805
21.0,1528,1552.653683
18.0,1812,1602.703224
20.0,1987,1657.676963
20.0,1585,1701.337445
19.0,1689,1747.736024
20.0,1566,1790.543625
19.0,1630,1835.626686
18.0,2168,1895.786008
13.0,2745,1971.692252
20.0,1594,2016.199375
20.0,1564,2059.356097
20.0,2001,2114.8698
17.0,2024,2171.034475
20.0,2033,2227.631848
20.0,1563,2270.862264
18.0,2197,2331.253453
20.0,1990,2386.546758
21.0,1971,2441.228251
20.0,1562,2484.354374
16.0,2054,2541.697517
20.0,1594,2585.766374
20.0,2005,2641.543635
20.0,1565,2685.046353
17.0,2030,2741.260072
18.0,2078,2798.482057
16.0,2514,2867.637903
20.0,1990,2922.863354
19.0,1657,2968.495202
20.0,1566,3011.736636
19.0,1662,3057.434884
20.0,2003,3101.97125
14.0,2148,3145.726609
20.0,2002,3186.274051
17.0,1976,3226.212648
20.0,1993,3266.564274
20.0,1996,3306.986841
19.0,2039,3348.176005
19.0,2111,3391.026447
17.0,2279,3437.363158
20.0,1992,3477.781376
4.0,3051,3539.820447
18.0,2088,3582.186794
20.0,2002,3622.73166
20.0,2057,3664.332392
19.0,2119,3707.282521
17.0,3248,3773.108243
16.0,2545,3824.960979
20.0,2004,3865.747755
19.0,2050,3906.995152
20.0,1990,3947.424057
20.0,2008,3988.297841
20.0,1993,4028.594365
19.0,2050,4070.282692
19.0,2103,4113.236784
20.0,3062,4175.412248
20.0,1566,4207.288156
19.0,3116,4270.663908
16.0,2405,4319.252449
19.0,3017,4380.475283
16.0,2398,4429.310427
18.0,2618,4482.462575
19.0,2027,4523.506222
18.0,3000,4584.072837
19.0,2117,4626.925747
19.0,2407,4675.784023
18.0,2170,4719.878918
20.0,1992,4760.275697
20.0,1990,4800.773441
20.0,1567,4832.427861
20.0,2041,4873.844942
21.0,2023,4915.084851
20.0,1997,4955.788295
20.0,1561,4987.564517
20.0,1565,5019.209505
19.0,2121,5062.457712
20.0,3121,5125.580695
20.0,1995,5166.306872
18.0,2654,5220.11186
20.0,2088,5262.387871
20.0,1566,5294.296014
20.0,2007,5335.116584
19.0,3197,5399.797439
20.0,2120,5442.901041
19.0,2175,5487.172647
21.0,1994,5527.941115
20.0,1589,5560.168114
20.0,1995,5600.618778
20.0,3060,5662.676294
20.0,1994,5703.270795
20.0,2007,5744.066193
21.0,1992,5784.709393
17.0,2418,5833.806542
20.0,2219,5878.738867
20.0,2002,5919.478728
21.0,1994,5959.76663
19.0,2102,6002.689834
17.0,2422,6051.893955
20.0,3057,6114.046843
20.0,1564,6145.779348
20.0,1993,6186.096586
21.0,3037,6247.785208
20.0,2981,6308.228182
19.0,2123,6351.415657
20.0,2099,6393.800406
18.0,1874,6431.742603
20.0,1564,6463.370234
20.0,3120,6526.984894
21.0,1992,6567.278497
20.0,3059,6629.328667
21.0,1996,6669.785047
21.0,1974,6709.719901
20.0,1991,6750.347229
20.0,2006,6791.088369
20.0,1561,6822.750446
20.0,1565,6854.52214
19.0,2214,6899.664891
20.0,3055,6961.826488
20.0,1562,6993.502481
20.0,1990,7034.105422
20.0,2003,7074.909999
20.0,1995,7115.373893
20.0,2005,7156.091651
20.0,1992,7196.480726
20.0,3059,7258.42262
20.0,1591,7290.62309
20.0,1995,7331.325796
20.0,1993,7371.958128
20.0,3056,7433.577842
19.0,2050,7477.690301
20.0,1608,7510.882044
20.0,1995,7551.117561
20.0,1994,7590.470253
20.0,1995,7628.828373
19.0,2124,7670.78
20.0,2047,7709.27226
21.0,3010,7770.908699
