#{"gym_version": "0.9.3", "t_start": 1511372009.273667, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1049,3.850366
-21.0,1138,6.076195
-20.0,1058,8.187663
-21.0,807,9.682547
-21.0,909,11.504177
-21.0,847,13.382476
-21.0,867,15.146412
-21.0,940,16.805576
-21.0,824,18.504425
-21.0,880,20.257164
-18.0,1056,22.304818
-20.0,900,23.977406
-20.0,840,25.731985
-20.0,932,27.571083
-21.0,838,29.296413
-21.0,777,30.758363
-20.0,1087,32.952333
-20.0,859,34.859445
-20.0,893,36.757987
-20.0,896,38.499795
-20.0,897,40.375882
-20.0,957,42.329545
-19.0,1085,44.537749
-21.0,819,46.366274
-21.0,946,48.411286
-21.0,934,50.171651
-20.0,855,51.973922
-21.0,825,53.712994
-20.0,914,55.41959
-20.0,900,57.286889
-20.0,927,59.258525
-20.0,837,61.070364
-20.0,983,63.125587
-20.0,941,64.911362
-21.0,817,66.655446
-20.0,1006,68.737746
-20.0,900,70.661061
-21.0,818,72.252181
-20.0,903,74.188009
-20.0,922,76.121016
-21.0,763,77.600571
-21.0,937,79.597513
-20.0,932,81.565785
-20.0,1082,83.759516
-19.0,1022,85.816111
-20.0,859,87.612239
-21.0,885,89.272383
-21.0,1066,91.686106
-21.0,820,93.303797
-20.0,895,95.309923
-21.0,929,97.301214
-20.0,852,98.955753
-20.0,841,100.764291
-21.0,840,102.588704
-21.0,1116,104.903079
-20.0,902,106.810092
-21.0,931,108.587622
-20.0,1050,110.746452
-21.0,911,112.693551
-21.0,900,114.613442
-19.0,929,116.555371
-19.0,1069,118.726794
-19.0,1096,120.99139
-20.0,985,123.032995
-21.0,903,124.925975
-20.0,1005,127.019567
-21.0,778,128.550215
-19.0,1032,130.658437
-21.0,842,132.505863
-21.0,822,134.089779
-19.0,1176,136.705008
-21.0,879,138.389472
-21.0,822,140.201272
-20.0,836,142.026013
-20.0,838,143.638793
-20.0,918,145.590872
-20.0,1019,147.755756
-21.0,869,149.631386
-20.0,1038,151.814437
-20.0,1039,154.005094
-19.0,971,156.098221
-21.0,805,157.644433
-20.0,1016,159.769084
-20.0,1019,161.926259
-19.0,1154,164.264485
-20.0,878,166.150631
-21.0,905,168.093641
