EpThisIter,optimgain,entloss,surrgain,TimeElapsed,TimestepsSoFar,meankl,EpisodesSoFar,ev_tdlam_before,entropy,EpLenMean,EpRewMean
,0.00258897,,0.00258897,1.686187982559204,,0.00114314,,-0.00262939929962,1.79063,nan,nan
,0.000612766,,0.000612766,2.735445022583008,,0.000212343,,0.00132668018341,1.79079,nan,nan
1,0.00322374,,0.00322374,3.766777515411377,1047,0.000496309,1,0.0014111995697,1.78998,1047.0,-19.0
,0.00115434,,0.00115434,4.7880635261535645,1047,0.000379556,1,0.000899016857147,1.78983,1047.0,-19.0
1,0.00198496,,0.00198496,5.775239706039429,2183,0.000321143,2,-0.00198435783386,1.79051,1091.5,-20.0
,0.00118271,,0.00118271,6.838934421539307,2183,0.000175143,2,0.00149631500244,1.79064,1091.5,-20.0
1,0.00170904,,0.00170904,7.847121953964233,3239,0.00044823,3,0.000170350074768,1.78966,1079.66666667,-20.0
1,0.00108191,,0.00108191,8.860923528671265,4044,0.000213838,4,-0.000388979911804,1.7906,1011.0,-20.25
,0.00236095,,0.00236095,9.850892543792725,4044,0.000378895,4,0.00620472431183,1.78967,1011.0,-20.25
1,0.00528862,,0.00528862,10.878622055053711,4951,0.000797043,5,-0.0069637298584,1.78836,990.2,-20.4
,0.00322165,,0.00322165,11.992879867553711,4951,0.000302674,5,-0.00224184989929,1.78759,990.2,-20.4
1,0.00392381,,0.00392381,13.068525075912476,5796,0.000258492,6,-0.0010222196579,1.78806,966.0,-20.5
,0.0070547,,0.0070547,14.061959028244019,5796,0.000765156,6,0.00195318460464,1.78516,966.0,-20.5
1,0.00621764,,0.00621764,15.047382831573486,6661,0.000571404,7,-0.000925540924072,1.78846,951.571428571,-20.5714285714
1,0.00102812,,0.00102812,16.039275646209717,7599,0.00103108,8,-0.00320410728455,1.78891,949.875,-20.625
,0.000551146,,0.000551146,17.05875277519226,7599,6.14682e-05,8,-0.00213539600372,1.78879,949.875,-20.625
1,0.0031115,,0.0031115,18.056187629699707,8421,0.000662592,9,-0.00237858295441,1.78969,935.666666667,-20.6666666667
,0.0028693,,0.0028693,19.04951810836792,8421,0.000346487,9,7.05122947693e-05,1.7889,935.666666667,-20.6666666667
1,0.00314269,,0.00314269,20.050122022628784,9299,0.000912605,10,-0.00047492980957,1.78574,929.9,-20.7
,0.00685506,,0.00685506,21.044440031051636,9299,0.000495396,10,-0.000809192657471,1.7837,929.9,-20.7
1,0.00721003,,0.00721003,22.06086540222168,10353,0.000348378,11,-0.000583648681641,1.78142,941.181818182,-20.4545454545
1,0.00381949,,0.00381949,23.104865789413452,11251,0.000161498,12,0.00159478187561,1.78326,937.583333333,-20.4166666667
,0.00763373,,0.00763373,24.13017439842224,11251,0.000220793,12,0.00015789270401,1.78274,937.583333333,-20.4166666667
1,0.00895177,,0.00895177,25.147595405578613,12089,0.000572609,13,-0.00229001045227,1.77822,929.923076923,-20.3846153846
,0.0105162,,0.0105162,26.13638710975647,12089,0.0011155,13,0.0013724565506,1.77767,929.923076923,-20.3846153846
1,0.00862027,,0.00862027,27.15309476852417,13019,0.00115385,14,-0.00225067138672,1.78125,929.928571429,-20.3571428571
,0.00695524,,0.00695524,28.168620347976685,13019,0.000428497,14,0.0050088763237,1.785,929.928571429,-20.3571428571
1,0.00584428,,0.00584428,29.191559314727783,13855,0.00062957,15,0.00241726636887,1.78264,923.666666667,-20.4
1,0.00418073,,0.00418073,30.252366065979004,14630,0.00063346,16,-0.000922560691833,1.78516,914.375,-20.4375
,0.00486318,,0.00486318,31.291133165359497,14630,0.000572806,16,0.00129526853561,1.78548,914.375,-20.4375
1,0.00551322,,0.00551322,32.40656924247742,15715,0.000335219,17,0.00108063220978,1.78384,924.411764706,-20.4117647059
,0.011448,,0.011448,33.46201157569885,15715,0.000972238,17,0.00209748744965,1.78023,924.411764706,-20.4117647059
1,0.0136833,,0.0136833,34.52632141113281,16572,0.00106226,18,-0.0026478767395,1.77761,920.666666667,-20.3888888889
,0.0134472,,0.0134472,35.589155197143555,16572,0.00110594,18,9.16719436646e-05,1.77613,920.666666667,-20.3888888889
1,0.0136561,,0.0136561,36.688023805618286,17463,0.0010425,19,0.000324487686157,1.77628,919.105263158,-20.3684210526
1,0.0122199,,0.0122199,37.76595497131348,18357,0.000970879,20,0.00194442272186,1.77185,917.85,-20.35
,0.0119316,,0.0119316,38.801926136016846,18357,0.000809767,20,-0.00286877155304,1.771,917.85,-20.35
1,0.00554664,,0.00554664,39.84062194824219,19252,0.000293077,21,0.0013507604599,1.77149,916.761904762,-20.3333333333
,0.0121156,,0.0121156,40.86530566215515,19252,0.00113872,21,-0.000402450561523,1.76774,916.761904762,-20.3333333333
1,0.00568096,,0.00568096,41.925968408584595,20207,0.000328642,22,0.000318825244904,1.76666,918.5,-20.3181818182
,0.0125977,,0.0125977,42.96625804901123,20207,0.00111247,22,-0.00205659866333,1.76479,918.5,-20.3181818182
1,0.0160741,,0.0160741,44.02661681175232,21290,0.00102713,23,-0.00285923480988,1.76319,925.652173913,-20.2608695652
,0.0165333,,0.0165333,45.133156538009644,21290,0.00145381,23,0.00486320257187,1.7645,925.652173913,-20.2608695652
1,0.015135,,0.015135,46.21362662315369,22107,0.00104763,24,-0.00077748298645,1.76011,921.125,-20.2916666667
,0.0138996,,0.0138996,47.31678771972656,22107,0.00117493,24,-0.00216400623322,1.7712,921.125,-20.2916666667
1,0.00643753,,0.00643753,48.38884949684143,23051,0.000339002,25,9.13143157959e-05,1.7577,922.04,-20.32
1,0.0129533,,0.0129533,49.434221029281616,23983,0.000914328,26,0.000179469585419,1.76337,922.423076923,-20.3461538462
,0.0101974,,0.0101974,50.45842933654785,23983,0.00103749,26,0.0040403008461,1.77747,922.423076923,-20.3461538462
1,0.00912072,,0.00912072,51.52532601356506,24836,0.000777855,27,0.000488221645355,1.77563,919.851851852,-20.3333333333
,0.00683447,,0.00683447,52.536606311798096,24836,0.000405478,27,0.00538021326065,1.77795,919.851851852,-20.3333333333
1,0.0132451,,0.0132451,53.572165727615356,25659,0.000703396,28,-0.00156271457672,1.77666,916.392857143,-20.3571428571
1,0.0126383,,0.0126383,54.637725591659546,26571,0.00102335,29,-0.00209999084473,1.7764,916.24137931,-20.3448275862
,0.00639187,,0.00639187,55.6767156124115,26571,0.000671042,29,0.000103771686554,1.77602,916.24137931,-20.3448275862
1,0.00405328,,0.00405328,56.718506813049316,27469,0.000734631,30,-0.000544428825378,1.77312,915.633333333,-20.3333333333
,0.00540573,,0.00540573,57.78732776641846,27469,0.000275684,30,-0.00272870063782,1.77206,915.633333333,-20.3333333333
1,0.0148676,,0.0148676,58.86301922798157,28394,0.00105624,31,-0.000300407409668,1.7702,915.935483871,-20.3225806452
,0.00323525,,0.00323525,59.91894578933716,28394,0.000218642,31,0.00171220302582,1.76765,915.935483871,-20.3225806452
1,0.00562464,,0.00562464,60.98444437980652,29229,0.000372027,32,-5.93662261963e-05,1.76486,913.40625,-20.3125
,0.00509831,,0.00509831,62.04606866836548,29229,0.000400955,32,-0.00285792350769,1.76457,913.40625,-20.3125
1,0.0124501,,0.0124501,63.09188890457153,30210,0.00147257,33,0.00212073326111,1.77021,915.454545455,-20.303030303
1,0.00897675,,0.00897675,64.18112015724182,31149,0.000992518,34,0.00428026914597,1.76807,916.147058824,-20.2941176471
,0.00341145,,0.00341145,65.22496104240417,31149,0.000316897,34,0.00408935546875,1.76634,916.147058824,-20.2941176471
1,0.0029623,,0.0029623,66.28809809684753,31964,0.00018321,35,-0.00357520580292,1.76637,913.257142857,-20.3142857143
,0.00640753,,0.00640753,67.32839155197144,31964,0.000250106,35,-0.000443577766418,1.76644,913.257142857,-20.3142857143
1,0.010036,,0.010036,68.39843416213989,32968,0.00137925,36,-0.0020717382431,1.76971,915.777777778,-20.3055555556
,0.011461,,0.011461,69.4622049331665,32968,0.000810892,36,-0.00191938877106,1.77176,915.777777778,-20.3055555556
1,0.00621112,,0.00621112,70.54162573814392,33866,0.000240017,37,0.00185614824295,1.77067,915.297297297,-20.2972972973
1,0.0124432,,0.0124432,71.60624814033508,34682,0.00102854,38,-0.00141406059265,1.77046,912.684210526,-20.3157894737
,0.00684936,,0.00684936,72.6822452545166,34682,0.000790933,38,0.000838279724121,1.77203,912.684210526,-20.3157894737
1,0.0103124,,0.0103124,73.7604763507843,35583,0.000744179,39,-0.00283300876617,1.77244,912.384615385,-20.3076923077
,0.00823759,,0.00823759,74.80416917800903,35583,0.000382831,39,-0.00249183177948,1.77067,912.384615385,-20.3076923077
1,0.0135992,,0.0135992,75.848623752594,36503,0.00101049,40,-4.76837158203e-07,1.77221,912.575,-20.3
1,0.00566362,,0.00566362,76.92372608184814,37264,0.00038832,41,-0.00335252285004,1.77329,905.425,-20.35
,0.00574058,,0.00574058,77.9829649925232,37264,0.0011481,41,-0.00288391113281,1.77337,905.425,-20.35
1,0.0146992,,0.0146992,79.07514142990112,38199,0.00123886,42,0.000695407390594,1.77226,900.4,-20.35
,0.00788296,,0.00788296,80.13319945335388,38199,0.00148401,42,-0.000807762145996,1.76743,900.4,-20.35
1,0.00623885,,0.00623885,81.2135260105133,39129,0.000550313,43,-0.00200521945953,1.77076,897.25,-20.35
,0.013134,,0.013134,82.24503970146179,39129,0.0012174,43,0.00153213739395,1.76779,897.25,-20.35
1,0.00792278,,0.00792278,83.2740912437439,40209,0.00111332,44,-0.000712394714355,1.76501,904.125,-20.325
,0.00950594,,0.00950594,84.30612564086914,40209,0.000922316,44,-0.000882387161255,1.76003,904.125,-20.325
1,0.0106834,,0.0106834,85.33714318275452,41229,0.000750971,45,-0.001140832901,1.7567,906.95,-20.275
,0.00826356,,0.00826356,86.3703019618988,41229,0.000231087,45,0.00216257572174,1.76066,906.95,-20.275
1,0.0145744,,0.0145744,87.41403031349182,42086,0.00094916,46,0.001036465168,1.76506,907.25,-20.25
1,0.00720003,,0.00720003,88.47538352012634,42969,0.000240292,47,0.000781118869781,1.76535,907.7,-20.25
,0.00707649,,0.00707649,89.53495073318481,42969,0.000234346,47,0.000930368900299,1.76962,907.7,-20.25
,0.0143062,,0.0143062,90.60801148414612,42969,0.00091236,47,-0.00303971767426,1.75967,907.7,-20.25
