entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,nan,nan,,0.000695691,0.00317369,,1.79106,0.00182926654816,,0.00317369,1.6819489002227783
,1010.0,-19.0,1,0.00135653,0.00145596,1,1.79054,-0.00152337551117,1010,0.00145596,2.7013635635375977
,1010.0,-19.0,1,0.000664043,0.000897747,,1.78922,-8.71419906616e-05,1010,0.000897747,3.731287717819214
,999.5,-19.5,2,0.000680625,0.00282148,1,1.7873,-0.000885486602783,1999,0.00282148,4.781121015548706
,999.5,-19.5,2,0.000559118,0.00271134,,1.78934,-0.00121974945068,1999,0.00271134,5.792690992355347
,919.333333333,-20.0,3,0.000139989,0.00194556,1,1.78907,-0.000660538673401,2758,0.00194556,6.813946008682251
,919.333333333,-20.0,3,0.000259222,0.00327164,,1.78826,0.000492632389069,2758,0.00327164,7.834714412689209
,917.0,-20.0,4,0.00084311,0.00220222,1,1.78784,0.00303810834885,3668,0.00220222,8.866261959075928
,917.0,-20.0,4,0.00118699,0.00245416,,1.78453,0.000921308994293,3668,0.00245416,9.897496223449707
,937.4,-19.8,5,0.000454079,0.00395223,1,1.78178,0.0012344121933,4687,0.00395223,10.94203519821167
,935.0,-19.8333333333,6,0.000603957,0.00580909,1,1.78061,-0.00268805027008,5610,0.00580909,11.981521606445312
,935.0,-19.8333333333,6,6.83178e-06,0.000104956,,1.78066,-0.00241649150848,5610,0.000104956,13.014449834823608
,925.0,-19.8571428571,7,0.000131596,0.00261566,1,1.78276,0.00234645605087,6475,0.00261566,14.056676387786865
,925.0,-19.8571428571,7,0.00121256,0.00630496,,1.77581,-0.000219583511353,6475,0.00630496,15.078926801681519
,940.125,-19.875,8,0.000271496,0.00640531,1,1.77487,0.00120222568512,7521,0.00640531,16.11545467376709
,940.125,-19.875,8,0.000509981,0.00309407,,1.77329,0.000512659549713,7521,0.00309407,17.129486560821533
,925.888888889,-20.0,9,0.0012945,0.0129557,1,1.77175,-0.0021755695343,8333,0.0129557,18.166147708892822
,925.888888889,-20.0,9,0.000206703,0.00441086,,1.77133,0.0010774731636,8333,0.00441086,19.187870502471924
,922.8,-20.0,10,0.000610436,0.00335153,1,1.76676,0.00225508213043,9228,0.00335153,20.228696584701538
,910.363636364,-20.0909090909,11,0.000863605,0.00530346,1,1.76988,-0.0013575553894,10014,0.00530346,21.252836227416992
,910.363636364,-20.0909090909,11,0.000277759,0.00673148,,1.77199,0.00218307971954,10014,0.00673148,22.249898195266724
,929.5,-20.0,12,0.00118972,0.00848841,1,1.77422,0.000925183296204,11154,0.00848841,23.275453329086304
,929.5,-20.0,12,0.000322612,0.00510501,,1.7733,-0.00330555438995,11154,0.00510501,24.278703927993774
,938.0,-20.0,13,0.000311016,0.00703354,1,1.77204,-0.00152778625488,12194,0.00703354,25.311468601226807
,938.0,-20.0,13,0.00110919,0.00770264,,1.76908,-0.000414371490479,12194,0.00770264,26.357258319854736
,943.285714286,-20.0,14,0.000496589,0.00497904,1,1.77192,-0.00140345096588,13206,0.00497904,27.378732681274414
,943.285714286,-20.0,14,0.000423373,0.0031242,,1.77333,-0.000661611557007,13206,0.0031242,28.40681505203247
,934.933333333,-20.0666666667,15,0.00136246,0.0127914,1,1.77566,0.000939667224884,14024,0.0127914,29.428704023361206
