#{"env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3", "t_start": 1511450387.2198868}
r,l,t
0.0,127,2.14832
1.0,157,3.343872
1.0,175,4.693207
1.0,157,5.915838
0.0,127,6.865281
0.0,129,7.85947
1.0,173,9.153405
0.0,129,10.155543
0.0,127,11.146482
0.0,129,12.127768
0.0,125,13.086907
2.0,186,14.578948
0.0,129,15.579757
0.0,125,16.512728
3.0,251,18.57111
0.0,129,19.537438
2.0,202,21.094969
3.0,253,23.081342
1.0,155,24.26168
0.0,129,25.234787
0.0,129,26.215031
0.0,127,27.149704
0.0,129,28.118666
0.0,129,29.115132
2.0,227,30.848258
3.0,272,33.009076
0.0,129,33.987827
2.0,200,35.558676
4.0,296,38.406426
0.0,125,40.415694
0.0,125,41.648463
2.0,202,44.049289
0.0,129,45.481339
3.0,251,48.41024
0.0,127,49.811566
0.0,127,51.21037
0.0,127,52.617425
2.0,205,54.942187
1.0,177,56.997646
0.0,129,58.406754
1.0,177,60.393768
3.0,275,63.681247
0.0,125,65.051347
0.0,129,66.466869
11.0,481,72.241506
5.0,331,76.104463
2.0,198,78.347169
0.0,129,79.799037
2.0,202,82.150297
1.0,175,84.116264
2.0,202,86.402225
1.0,177,88.429473
0.0,127,89.841626
0.0,127,91.222538
2.0,204,93.643306
1.0,155,95.38513
0.0,129,96.82796
6.0,400,101.698123
1.0,173,103.683809
0.0,127,105.08706
1.0,155,106.77527
0.0,125,108.1355
2.0,217,110.635904
2.0,200,112.937639
2.0,202,115.224741
5.0,325,119.028576
4.0,299,122.535669
1.0,157,124.308165
0.0,125,125.715772
2.0,199,128.07528
2.0,224,130.706746
0.0,129,132.120446
3.0,250,135.083472
1.0,157,136.838627
3.0,250,139.79561
1.0,173,141.68883
1.0,175,143.754982
3.0,250,146.648999
0.0,125,148.001743
0.0,129,149.432483
9.0,380,153.95717
1.0,173,155.893777
0.0,127,157.341248
3.0,233,160.049407
0.0,127,161.433075
0.0,127,162.834994
8.0,373,167.334881
0.0,129,168.794683
4.0,298,172.337867
2.0,200,174.623672
0.0,127,175.997689
0.0,129,177.440893
5.0,331,181.375352
0.0,127,182.730336
0.0,129,184.159873
1.0,175,186.14963
5.0,368,190.476104
0.0,129,191.94505
1.0,176,193.935676
1.0,153,195.672403
6.0,379,200.15142
0.0,127,201.570159
2.0,223,204.155827
10.0,454,209.619045
2.0,202,211.923259
0.0,129,213.405913
2.0,202,215.66862
11.0,485,221.396389
0.0,125,222.746409
5.0,350,226.820868
2.0,202,229.157954
4.0,283,232.460673
1.0,157,234.20688
0.0,129,235.594781
1.0,152,237.373859
0.0,129,238.789392
0.0,127,240.196638
0.0,127,241.603394
0.0,129,243.056936
0.0,127,244.474372
0.0,127,245.903183
0.0,125,247.245528
0.0,127,248.635806
2.0,226,251.261055
0.0,129,252.648922
4.0,319,256.374157
0.0,129,257.803477
5.0,350,261.935079
6.0,376,266.347044
8.0,376,270.84725
1.0,173,272.796901
0.0,129,274.219367
0.0,127,275.578235
0.0,127,276.982078
2.0,204,279.275178
4.0,298,282.700149
0.0,129,284.112295
2.0,202,286.444606
0.0,129,287.851135
0.0,129,289.235534
3.0,271,292.456407
0.0,129,293.87505
0.0,125,295.254851
0.0,129,296.703985
0.0,127,298.0778
0.0,127,299.482633
3.0,231,302.147165
0.0,129,303.561581
0.0,127,304.942509
15.0,555,311.632457
0.0,125,313.055979
0.0,127,314.417966
0.0,125,315.798129
0.0,127,317.268889
0.0,129,318.706426
4.0,281,321.975741
8.0,375,326.515831
4.0,280,329.769213
0.0,127,331.152603
4.0,299,334.684036
0.0,123,336.055315
0.0,125,337.419084
2.0,200,339.708225
0.0,127,341.086504
0.0,127,342.479961
2.0,202,344.800729
2.0,201,347.12262
3.0,274,350.301692
0.0,129,351.728376
3.0,270,355.013178
4.0,299,358.567072
0.0,125,359.883616
0.0,127,361.234408
0.0,125,362.594213
0.0,127,364.002033
0.0,129,365.611135
9.0,402,370.968589
0.0,125,372.456181
5.0,368,376.952148
0.0,127,378.338732
6.0,399,383.004112
9.0,382,387.583371
0.0,129,389.013261
0.0,127,390.40914
0.0,127,391.774292
5.0,350,395.846746
5.0,350,399.955996
2.0,198,402.139285
0.0,125,403.48772
0.0,127,404.9168
1.0,170,406.766
0.0,123,408.136073
0.0,129,409.520445
5.0,350,413.586339
0.0,127,414.95016
4.0,301,418.456906
13.0,459,423.9281
0.0,129,425.383869
5.0,329,429.147343
0.0,123,430.520558
10.0,434,435.63145
2.0,200,437.91643
2.0,202,440.235183
3.0,246,443.040272
0.0,129,444.463578
0.0,127,445.860318
0.0,127,447.240678
0.0,127,448.658256
3.0,246,451.439553
0.0,125,452.793677
6.0,399,457.502506
0.0,127,458.942857
0.0,129,460.32162
0.0,129,461.708735
0.0,127,463.135991
0.0,129,464.561399
0.0,125,465.935715
6.0,382,470.375244
0.0,127,471.75114
4.0,299,475.246004
0.0,125,476.571038
2.0,202,478.82203
0.0,129,480.190471
2.0,202,482.482345
3.0,271,485.663649
0.0,129,487.090117
2.0,200,489.367058
2.0,224,491.957399
0.0,127,493.382477
0.0,125,494.734637
1.0,175,496.693957
0.0,127,498.115812
5.0,350,502.395385
7.0,429,507.461872
4.0,297,510.962837
0.0,125,512.335999
2.0,202,514.652543
0.0,129,516.051664
2.0,202,518.391158
5.0,350,522.470102
10.0,453,527.776445
0.0,129,529.153523
2.0,202,531.440655
2.0,202,533.778758
6.0,357,537.998667
2.0,202,540.276336
8.0,350,544.313314
0.0,127,545.754845
3.0,248,548.651825
9.0,404,553.413912
9.0,404,558.149488
0.0,127,559.584062
2.0,200,561.855715
8.0,374,566.232452
0.0,127,567.590279
0.0,125,568.912924
0.0,129,570.337566
5.0,350,574.49314
4.0,297,578.035727
0.0,129,579.423304
2.0,202,581.773195
0.0,129,583.226628
3.0,248,586.064949
0.0,129,587.481044
0.0,129,588.923911
0.0,129,590.312831
2.0,223,592.928728
4.0,297,596.412096
5.0,329,600.259853
2.0,202,602.580988
9.0,404,607.360378
0.0,127,608.765215
9.0,404,613.616306
13.0,459,619.067431
2.0,202,621.39659
0.0,129,622.794426
0.0,129,624.26029
14.0,499,630.170614
2.0,220,632.667545
0.0,129,634.129438
4.0,297,637.588484
2.0,199,639.935447
2.0,202,642.192711
2.0,200,644.51563
2.0,202,646.869887
10.0,452,652.33343
0.0,129,653.749782
4.0,299,657.224696
0.0,127,658.64543
0.0,129,660.089807
0.0,129,661.501888
2.0,198,663.819025
0.0,127,665.20022
0.0,129,666.674408
0.0,127,668.116185
1.0,155,669.872466
5.0,350,674.021473
0.0,125,675.366547
0.0,127,676.744706
0.0,127,678.126309
2.0,202,680.405537
7.0,409,685.246538
2.0,224,687.858353
5.0,350,692.074931
2.0,200,694.346599
9.0,404,699.096666
0.0,129,700.485863
2.0,202,702.818148
0.0,127,704.217066
9.0,404,709.004572
0.0,129,710.386667
0.0,129,711.832365
0.0,125,713.177469
5.0,350,717.328465
0.0,129,718.738364
0.0,129,720.134502
11.0,500,726.118981
0.0,127,727.452253
0.0,129,728.851665
1.0,176,730.822092
0.0,127,732.1687
3.0,248,734.983623
10.0,453,740.364685
3.0,248,743.202653
0.0,127,744.588275
2.0,200,746.888403
0.0,127,748.261267
0.0,129,749.715399
9.0,404,754.508571
0.0,125,755.900709
0.0,129,757.343574
5.0,350,761.478606
2.0,202,763.848372
7.0,433,768.974027
1.0,173,771.004431
0.0,129,772.396698
5.0,329,776.291222
1.0,177,778.322228
0.0,129,779.713955
2.0,202,781.976222
1.0,173,783.895634
0.0,129,785.308738
0.0,127,786.669044
4.0,319,790.459495
10.0,433,795.511552
5.0,350,799.631756
6.0,400,804.355734
0.0,125,805.73238
5.0,350,809.890636
1.0,176,811.913015
0.0,127,813.277489
5.0,350,817.348512
0.0,129,818.769242
5.0,352,822.93678
5.0,350,827.020464
2.0,202,829.325931
11.0,503,835.3272
0.0,129,836.693416
5.0,350,840.857378
0.0,127,842.278239
0.0,129,843.644435
4.0,297,847.079354
0.0,127,848.421006
0.0,129,849.857679
0.0,129,851.326019
0.0,127,852.733906
0.0,125,854.069735
0.0,129,855.547821
0.0,129,856.996784
9.0,404,861.78251
0.0,129,863.18033
4.0,319,866.899329
0.0,127,868.317179
0.0,129,869.719035
0.0,129,871.112399
0.0,127,872.504375
3.0,246,875.313687
10.0,453,880.610976
0.0,127,882.012028
8.0,475,887.723093
0.0,127,889.148109
0.0,127,890.508625
5.0,350,894.562743
0.0,129,895.963411
0.0,127,897.337335
2.0,202,899.608533
2.0,200,901.890747
4.0,299,905.426518
9.0,404,910.236444
1.0,176,912.203297
1.0,173,914.188295
14.0,507,920.144472
0.0,129,921.546732
5.0,350,925.704608
8.0,372,930.026906
0.0,127,931.374971
0.0,127,932.757393
3.0,248,935.625374
0.0,125,936.974548
9.0,404,941.702823
0.0,129,943.112547
2.0,202,945.436909
4.0,299,948.903313
3.0,228,951.515738
0.0,125,952.880018
0.0,127,954.26757
3.0,248,957.191338
8.0,374,961.541573
3.0,248,964.378386
3.0,270,967.514429
9.0,404,972.248549
1.0,154,973.965813
3.0,237,976.718783
3.0,214,979.151829
2.0,201,981.445196
6.0,382,985.968392
6.0,345,990.049624
5.0,329,994.009048
1.0,174,995.992334
0.0,129,997.40192
0.0,127,998.765353
4.0,297,1002.18631
4.0,301,1005.712743
0.0,127,1007.150957
1.0,174,1009.158606
9.0,404,1013.856263
0.0,127,1015.260731
3.0,235,1017.956917
2.0,223,1020.573561
5.0,323,1024.451651
3.0,214,1026.95598
0.0,129,1028.393858
1.0,151,1030.121451
0.0,127,1031.555288
2.0,199,1033.852051
2.0,204,1036.234257
1.0,178,1038.265365
3.0,232,1040.894463
3.0,250,1043.769677
2.0,200,1046.022811
1.0,178,1047.985296
2.0,183,1050.093915
3.0,250,1053.001086
1.0,175,1055.026255
0.0,127,1056.441106
0.0,129,1057.860206
0.0,129,1059.258579
6.0,361,1063.516515
2.0,190,1065.720609
0.0,127,1067.13257
0.0,129,1068.560478
1.0,175,1070.531584
0.0,129,1071.959745
2.0,204,1074.258751
6.0,400,1078.991982
1.0,157,1080.74098
2.0,183,1082.771789
1.0,155,1084.484919
2.0,202,1086.746057
5.0,296,1090.25453
3.0,216,1092.763168
0.0,125,1094.168162
2.0,202,1096.423416
0.0,125,1097.749639
2.0,202,1100.108649
0.0,125,1101.470047
0.0,129,1102.867527
0.0,129,1104.243222
3.0,244,1107.05413
0.0,127,1108.455543
2.0,200,1110.756335
0.0,129,1112.153848
2.0,185,1114.19421
8.0,375,1118.612323
6.0,343,1122.676127
1.0,154,1124.376847
1.0,175,1126.369523
2.0,202,1128.725924
6.0,393,1133.324225
2.0,202,1135.589409
0.0,129,1137.001388
5.0,331,1140.89415
1.0,155,1142.641778
1.0,157,1144.429955
5.0,348,1148.497458
2.0,205,1150.920476
3.0,250,1153.831049
4.0,265,1156.876662
4.0,280,1160.131323
0.0,123,1161.50193
0.0,127,1162.897135
4.0,260,1165.960084
2.0,185,1168.073794
4.0,300,1171.572705
0.0,129,1172.937171
0.0,127,1174.292105
1.0,157,1176.058601
1.0,155,1177.767188
0.0,129,1179.20493
1.0,178,1181.250065
1.0,171,1183.142764
9.0,404,1188.014754
7.0,408,1192.830074
0.0,125,1194.167932
3.0,214,1196.613749
0.0,129,1198.084927
7.0,250,1200.99058
2.0,184,1203.07454
0.0,127,1204.417758
5.0,295,1207.832946
2.0,200,1210.065868
0.0,129,1211.505867
0.0,127,1212.872715
4.0,299,1216.407363
0.0,129,1217.83912
5.0,328,1221.676857
0.0,129,1223.060477
3.0,248,1225.984873
9.0,404,1230.802475
9.0,404,1235.585581
4.0,301,1239.061553
