#{"gym_version": "0.9.3", "env_id": "BreakoutNoFrameskip-v4", "t_start": 1511450426.330994}
r,l,t
1.0,155,3.560087
0.0,129,4.991512
0.0,127,6.382822
0.0,127,7.749572
0.0,129,9.138565
1.0,155,10.936566
2.0,205,13.367193
2.0,200,15.69256
3.0,246,18.564011
0.0,125,20.012297
0.0,125,21.41383
1.0,153,23.126393
1.0,155,24.898096
2.0,202,27.223911
0.0,129,28.693063
1.0,172,30.617379
0.0,129,32.045819
3.0,274,35.289724
0.0,129,36.720945
4.0,325,40.596989
2.0,223,43.182252
1.0,175,45.237998
0.0,127,46.64976
0.0,127,48.072968
1.0,175,50.083714
1.0,175,52.108884
0.0,125,53.491441
0.0,123,54.841262
1.0,173,56.841424
0.0,127,58.222318
4.0,297,61.666584
5.0,350,65.766063
0.0,127,67.147887
6.0,343,71.211611
0.0,127,72.62663
0.0,125,74.014601
1.0,175,75.996501
1.0,155,77.737666
0.0,125,79.127275
2.0,201,81.458216
1.0,173,83.423647
2.0,220,85.930714
7.0,429,91.015825
2.0,201,93.36964
0.0,129,94.830498
0.0,129,96.291973
2.0,222,98.873244
0.0,129,100.282262
1.0,155,102.044554
0.0,129,103.476665
1.0,155,105.25538
0.0,129,106.721279
0.0,127,108.138378
4.0,299,111.703689
2.0,183,113.770894
3.0,271,116.98034
1.0,172,118.982574
0.0,129,120.369368
2.0,198,122.666109
4.0,321,126.459219
3.0,248,129.294639
0.0,129,130.716986
0.0,125,132.127976
0.0,125,133.528162
0.0,127,134.893733
0.0,127,136.276366
0.0,125,137.685863
2.0,203,140.089396
1.0,157,141.905289
0.0,129,143.32301
1.0,157,145.177993
2.0,219,147.751771
1.0,177,149.775859
0.0,127,151.205193
5.0,346,155.262681
1.0,170,157.215152
1.0,157,159.034923
0.0,127,160.418853
3.0,232,163.162542
2.0,186,165.3117
3.0,251,168.245848
2.0,224,170.80483
2.0,204,173.195559
1.0,173,175.187324
2.0,200,177.5354
3.0,252,180.563182
3.0,244,183.439517
1.0,155,185.157218
0.0,129,186.592273
0.0,129,188.057279
0.0,129,189.487474
1.0,155,191.211402
2.0,206,193.556232
3.0,234,196.32233
0.0,127,197.874803
5.0,347,201.984165
0.0,129,203.405894
4.0,301,206.968674
0.0,129,208.395562
0.0,127,209.799427
5.0,368,214.197755
0.0,129,215.588741
1.0,172,217.548878
1.0,155,219.320725
3.0,272,222.586272
2.0,198,224.878531
0.0,127,226.295734
1.0,175,228.316162
2.0,183,230.447006
0.0,127,231.829035
0.0,127,233.241361
3.0,251,236.197106
0.0,127,237.598117
0.0,125,238.985519
0.0,129,240.409304
1.0,155,242.180478
1.0,175,244.197369
0.0,129,245.623291
5.0,350,249.829552
0.0,125,251.204393
5.0,346,255.322171
2.0,198,257.61572
2.0,200,259.95165
2.0,223,262.586234
5.0,367,266.950111
0.0,129,268.374034
0.0,127,269.817491
3.0,251,272.774297
10.0,451,278.170852
0.0,127,279.58924
2.0,223,282.204443
3.0,234,284.907728
6.0,404,289.678822
0.0,129,291.102747
5.0,352,295.265926
0.0,127,296.69185
4.0,300,300.222179
0.0,127,301.619178
2.0,202,303.914439
0.0,127,305.308189
5.0,329,309.134306
0.0,129,310.509226
4.0,280,313.760443
0.0,127,315.26652
0.0,129,316.68658
0.0,127,318.069337
9.0,404,322.89545
1.0,157,324.677519
0.0,125,326.173415
0.0,127,327.802191
0.0,125,329.385371
0.0,129,330.977709
0.0,127,332.539977
0.0,125,334.115389
3.0,248,337.127228
2.0,198,339.501161
1.0,173,341.487375
1.0,155,343.255925
1.0,159,345.037873
0.0,127,346.442714
3.0,234,349.174543
1.0,173,351.218793
0.0,127,352.636602
2.0,198,354.915698
2.0,200,357.254567
1.0,155,359.005586
0.0,127,360.434718
0.0,129,361.902897
3.0,250,364.885237
1.0,157,366.665306
0.0,129,368.076185
3.0,248,370.970824
3.0,271,374.163935
1.0,172,376.182114
0.0,129,377.629286
1.0,176,379.584592
0.0,125,380.970175
0.0,129,382.361729
1.0,173,384.340705
2.0,204,386.678708
5.0,326,390.604472
2.0,186,392.75543
0.0,129,394.195899
2.0,204,396.536193
5.0,350,400.633794
5.0,350,404.815968
2.0,202,407.093888
0.0,127,408.491258
0.0,129,409.857037
2.0,202,412.199811
0.0,127,413.576885
0.0,129,414.975632
0.0,129,416.380474
6.0,398,421.128189
5.0,350,425.305616
5.0,350,429.450165
0.0,125,430.809012
0.0,125,432.187568
0.0,127,433.5874
0.0,127,434.973477
2.0,202,437.321869
0.0,125,438.738837
0.0,129,440.175915
1.0,171,442.144202
0.0,129,443.558108
4.0,299,447.060271
9.0,404,451.89481
3.0,248,454.739228
2.0,220,457.363027
2.0,202,459.65969
5.0,350,463.736
8.0,352,467.872023
5.0,350,471.993965
2.0,186,474.134346
0.0,127,475.5542
0.0,125,476.945171
2.0,200,479.21848
0.0,127,480.625364
0.0,127,482.105242
0.0,129,483.505216
4.0,319,487.33327
0.0,127,488.714776
3.0,248,491.669823
5.0,350,495.798259
0.0,129,497.217517
0.0,127,498.586114
0.0,127,499.970557
2.0,202,502.283892
0.0,125,503.651187
0.0,127,505.078568
2.0,198,507.319566
0.0,127,508.722296
