#{"gym_version": "0.9.3", "env_id": "BreakoutNoFrameskip-v4", "t_start": 1511316681.305819}
r,l,t
0.0,129,5.806334
0.0,125,7.866777
2.0,202,11.164301
3.0,248,15.405469
3.0,248,19.61426
0.0,129,21.580758
2.0,185,24.65472
0.0,127,26.716783
0.0,127,28.668473
2.0,201,32.022762
1.0,157,34.682083
1.0,173,37.481173
2.0,198,40.743325
1.0,151,43.243564
0.0,127,45.113683
5.0,350,51.23584
2.0,202,54.684484
4.0,297,59.669226
10.0,451,67.395693
0.0,127,69.374014
0.0,129,71.383572
0.0,125,73.346552
0.0,127,75.2857
2.0,202,78.699065
5.0,350,84.568668
0.0,127,86.513733
9.0,404,93.281844
4.0,297,100.758504
2.0,202,105.536045
9.0,404,117.155015
2.0,202,122.692692
11.0,480,136.638238
0.0,127,140.143552
2.0,200,145.705309
0.0,127,149.1595
2.0,202,154.693175
0.0,129,158.19063
0.0,127,161.558717
0.0,125,164.879326
2.0,227,171.402503
1.0,154,175.570704
2.0,183,180.635035
0.0,129,184.071356
1.0,155,188.210536
2.0,202,193.64865
0.0,125,196.960425
5.0,347,206.640992
1.0,173,211.149773
1.0,157,215.476399
1.0,173,220.226272
5.0,349,230.161185
5.0,350,240.179727
6.0,363,250.704249
2.0,203,256.214343
0.0,129,259.8002
5.0,350,269.765281
5.0,306,278.503134
5.0,349,288.319397
12.0,504,302.605753
2.0,224,308.85277
4.0,305,317.440377
8.0,297,325.82437
10.0,395,337.179339
5.0,347,347.250095
1.0,157,351.648702
5.0,350,361.138087
0.0,127,364.436279
8.0,450,377.357169
10.0,512,391.737555
8.0,295,399.709215
7.0,418,411.462301
8.0,479,425.150261
10.0,402,436.498398
7.0,395,447.442386
5.0,315,456.228978
3.0,254,463.056164
11.0,560,478.806358
4.0,323,487.615935
6.0,376,498.088757
6.0,343,507.507827
14.0,368,517.744337
8.0,431,529.635965
12.0,535,544.530248
15.0,622,562.24067
8.0,433,574.465634
5.0,306,582.687387
10.0,476,595.979032
5.0,306,604.303332
8.0,458,617.137698
16.0,557,632.724025
6.0,403,643.677835
14.0,586,660.293597
13.0,614,677.666988
15.0,631,695.502295
10.0,580,711.894681
9.0,454,724.614058
21.0,470,737.61775
10.0,557,753.291184
13.0,647,771.745791
26.0,844,795.471292
26.0,638,813.603369
21.0,507,828.072706
20.0,590,844.678898
30.0,905,870.549485
14.0,673,889.724999
25.0,691,909.226382
20.0,655,927.564267
19.0,694,947.006792
26.0,743,967.685158
24.0,803,990.132357
28.0,878,1014.512281
33.0,916,1040.211114
17.0,474,1053.45981
23.0,465,1066.385586
19.0,691,1085.380493
11.0,473,1098.490209
30.0,975,1126.105077
16.0,702,1145.510329
20.0,793,1167.990019
75.0,1460,1209.229215
27.0,573,1225.206937
27.0,799,1247.690469
43.0,1210,1281.99632
26.0,858,1305.715764
62.0,1494,1348.017552
57.0,1385,1387.019995
38.0,936,1413.252491
80.0,1658,1459.718077
65.0,1347,1497.357747
46.0,1139,1528.985347
55.0,1260,1564.609437
76.0,1399,1603.846972
31.0,737,1624.104917
19.0,754,1645.00339
39.0,988,1672.624322
76.0,1395,1711.910576
69.0,1197,1745.57976
69.0,1462,1786.865774
58.0,1152,1819.669419
51.0,1122,1851.418638
76.0,1428,1891.445557
53.0,827,1914.735159
92.0,1512,1957.138948
60.0,1277,1993.161572
63.0,1230,2027.680582
92.0,1570,2071.824129
69.0,1237,2106.667096
20.0,647,2124.521803
57.0,1156,2156.797838
148.0,1439,2197.184321
370.0,2114,2256.341528
13.0,600,2272.658179
47.0,1143,2304.688737
330.0,1846,2356.967964
88.0,1133,2388.512152
366.0,1980,2444.168683
76.0,1274,2479.372088
77.0,1310,2515.552694
271.0,1729,2563.710647
88.0,871,2588.034462
101.0,1615,2633.459059
165.0,1731,2681.82143
188.0,1804,2732.026034
163.0,1801,2782.452288
347.0,1924,2836.387269
286.0,1991,2892.285505
381.0,2175,2952.298621
407.0,2049,3009.382386
392.0,2373,3075.553038
396.0,1897,3128.342653
363.0,1980,3183.590883
248.0,1932,3236.839192
350.0,2342,3301.693076
409.0,2209,3362.761822
246.0,1701,3409.607888
284.0,2057,3466.55868
305.0,1888,3518.696363
366.0,2455,3586.745341
391.0,2342,3651.883932
404.0,2027,3707.982359
331.0,1814,3758.543179
117.0,1573,3801.692508
389.0,2039,3858.29869
421.0,3514,3956.408991
297.0,2677,4030.86771
389.0,1773,4079.858552
419.0,3875,4187.474556
385.0,3518,4284.017571
427.0,2663,4356.620339
396.0,2098,4415.311395
400.0,2022,4470.778094
417.0,2229,4532.208784
424.0,3861,4638.910153
258.0,1627,4684.352649
353.0,2083,4741.707478
376.0,2230,4803.231959
420.0,2591,4874.976916
418.0,2189,4934.993641
417.0,2860,5014.072133
402.0,2563,5085.075937
421.0,4347,5204.603781
420.0,2446,5272.118847
381.0,2578,5343.1975
368.0,1956,5397.043103
498.0,4356,5517.279078
413.0,2229,5579.045118
356.0,2334,5643.35439
428.0,3544,5741.054491
330.0,2002,5796.07853
819.0,5453,5946.903998
414.0,3578,6044.447689
431.0,4737,6174.936719
397.0,2105,6232.596001
730.0,4720,6363.009809
432.0,3025,6446.289301
568.0,4003,6557.813752
406.0,3558,6655.845075
388.0,1902,6707.663034
413.0,2472,6775.282362
442.0,3611,6874.728803
417.0,3019,6957.876452
423.0,11653,7278.220236
479.0,3080,7363.230902
427.0,5136,7503.758959
399.0,2648,7575.770134
398.0,2240,7636.988679
856.0,4507,7760.985584
399.0,4012,7871.558134
406.0,2755,7947.227654
425.0,3093,8032.226272
404.0,2718,8107.048922
433.0,3330,8197.638844
394.0,2169,8257.148748
423.0,8306,8487.237883
454.0,2790,8563.838077
428.0,3399,8657.636663
428.0,4187,8772.157151
99.0,1514,8813.508843
428.0,2331,8877.543061
400.0,2488,8945.97043
405.0,4718,9075.43936
780.0,5297,9221.31988
428.0,2675,9294.883576
404.0,2448,9361.570543
409.0,2377,9426.585187
