#{"t_start": 1511316779.4719155, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
2.0,202,10.412247
0.0,127,14.149405
2.0,222,20.664007
2.0,219,26.901905
2.0,224,33.401935
0.0,127,36.878065
3.0,271,44.973216
2.0,202,50.869057
1.0,155,55.351129
5.0,351,65.6105
0.0,127,69.199859
2.0,224,75.792154
0.0,127,79.256289
0.0,129,82.974627
0.0,125,86.597638
1.0,174,91.584198
0.0,127,94.930856
1.0,155,99.288825
0.0,129,102.758266
2.0,201,108.477865
1.0,171,113.190092
0.0,129,116.865536
0.0,129,120.558395
2.0,204,126.39529
1.0,173,131.330291
1.0,155,135.643488
0.0,127,138.957686
3.0,230,145.745228
0.0,125,149.155304
2.0,198,154.615156
0.0,127,158.068821
5.0,350,168.568374
0.0,129,172.153706
4.0,297,180.871411
0.0,129,184.383564
0.0,127,187.792408
0.0,129,191.525785
6.0,397,203.41884
2.0,202,209.192166
4.0,299,217.893003
2.0,200,223.832314
5.0,350,234.00349
0.0,127,237.350285
0.0,125,240.882114
5.0,331,250.567421
2.0,200,256.347013
3.0,248,263.84391
2.0,198,269.592692
5.0,350,280.028587
1.0,178,284.947421
0.0,129,288.613529
0.0,127,292.047983
0.0,129,295.756376
0.0,127,299.433494
0.0,129,303.125126
0.0,129,306.593808
2.0,202,312.484132
0.0,125,315.762201
0.0,129,319.398773
0.0,129,323.053313
1.0,157,327.494946
1.0,157,331.92967
0.0,129,335.458001
0.0,129,339.040983
1.0,155,343.481309
10.0,450,356.779094
3.0,248,363.68755
2.0,198,369.37664
1.0,173,374.188434
0.0,127,377.882636
0.0,125,381.481076
2.0,202,387.316732
5.0,350,397.602607
4.0,297,406.41621
9.0,398,418.461693
9.0,404,430.564322
9.0,401,442.29885
6.0,371,453.384717
3.0,211,459.423446
5.0,352,469.751248
5.0,350,479.871697
0.0,127,483.476369
9.0,499,497.974233
4.0,323,507.36298
6.0,357,517.899068
1.0,153,522.189498
2.0,204,527.822309
5.0,295,536.385715
5.0,314,545.444362
5.0,291,553.874519
1.0,173,558.645622
8.0,433,571.222671
11.0,271,579.039344
8.0,403,590.716117
13.0,488,605.069915
11.0,466,618.635865
11.0,446,631.491569
5.0,316,640.617232
4.0,279,648.660945
4.0,280,656.641055
11.0,562,672.95814
7.0,248,679.960562
11.0,421,692.042593
12.0,496,706.594968
5.0,298,715.101968
11.0,399,726.587441
9.0,481,740.581751
16.0,456,753.873789
8.0,448,767.058915
11.0,482,781.149991
11.0,409,792.886345
13.0,490,807.393259
16.0,674,826.835153
11.0,528,842.382597
21.0,704,862.666133
12.0,302,871.163969
10.0,548,887.257855
10.0,554,903.353053
12.0,518,918.700775
12.0,479,932.491988
16.0,700,953.130934
10.0,489,967.277808
31.0,790,990.279117
13.0,604,1007.780264
20.0,706,1028.545732
11.0,590,1046.210149
21.0,666,1065.198464
19.0,715,1086.088218
11.0,456,1099.081578
19.0,734,1120.190057
18.0,700,1140.728807
23.0,686,1160.673653
15.0,403,1172.318239
21.0,785,1195.041159
18.0,676,1214.562507
14.0,541,1230.512658
22.0,585,1247.377284
14.0,616,1265.030314
19.0,678,1284.898052
31.0,797,1308.282087
28.0,806,1331.900751
22.0,726,1352.9848
34.0,886,1378.788898
42.0,1065,1410.044436
20.0,518,1425.053022
35.0,948,1452.834414
44.0,1215,1488.288866
25.0,679,1507.790368
24.0,646,1526.499362
34.0,662,1545.426399
67.0,1521,1589.857672
42.0,1172,1623.853447
50.0,1376,1664.053529
37.0,787,1687.223353
63.0,1359,1726.529936
44.0,1056,1757.346638
48.0,1139,1790.137588
45.0,987,1818.645829
43.0,988,1847.526597
59.0,1330,1886.359927
25.0,993,1915.132812
36.0,953,1942.725204
49.0,1185,1977.210795
62.0,1544,2022.20604
60.0,974,2050.437232
72.0,1434,2092.059022
50.0,858,2116.729202
26.0,927,2143.64853
66.0,1526,2187.891032
43.0,1155,2221.37939
319.0,1644,2269.152385
104.0,1448,2311.389418
79.0,1415,2352.638032
70.0,1635,2400.375959
88.0,1282,2437.473716
94.0,1706,2487.159655
108.0,1295,2524.748098
324.0,1492,2568.157104
226.0,1515,2611.720552
61.0,925,2638.123118
89.0,1411,2678.64779
290.0,1331,2717.224351
110.0,1496,2760.531916
146.0,1634,2807.755126
188.0,1808,2860.159159
165.0,1696,2909.19729
267.0,1807,2961.51678
132.0,1354,3000.505184
226.0,1880,3054.995797
277.0,1724,3104.979686
220.0,1421,3146.305717
360.0,2029,3205.070622
368.0,1920,3261.026282
215.0,1860,3314.4163
315.0,1759,3365.280848
325.0,2089,3425.240243
345.0,1871,3479.485054
320.0,1941,3535.714992
375.0,2067,3595.40575
362.0,2014,3653.63933
285.0,1689,3702.141196
125.0,1477,3744.653882
206.0,1780,3795.713055
423.0,2817,3876.749824
413.0,2029,3934.899271
347.0,1897,3989.131039
424.0,2361,4057.020736
324.0,1725,4106.363419
411.0,2250,4171.061726
428.0,3572,4274.168826
363.0,1642,4321.477114
444.0,2525,4394.543299
149.0,1628,4440.950132
419.0,2357,4508.52742
414.0,2618,4584.555055
360.0,2368,4652.007836
424.0,2447,4722.014081
450.0,3183,4812.979009
146.0,1574,4858.000457
427.0,2519,4930.031223
122.0,1493,4972.92887
386.0,2466,5044.063852
508.0,3959,5157.646955
414.0,2292,5223.04623
421.0,2678,5299.946919
456.0,3447,5398.296467
