#{"gym_version": "0.9.3", "env_id": "BreakoutNoFrameskip-v4", "t_start": 1511316681.4779587}
r,l,t
4.0,299,8.728042
0.0,125,10.593503
0.0,127,12.705246
2.0,185,15.794743
0.0,129,17.762187
1.0,173,20.621125
1.0,173,23.506182
1.0,157,26.069557
2.0,202,29.358117
1.0,176,32.277174
0.0,127,34.367324
1.0,173,37.150287
4.0,315,42.590656
0.0,129,44.556347
2.0,198,47.91215
3.0,271,52.558991
12.0,431,59.932056
0.0,129,62.01848
0.0,129,64.035802
0.0,129,66.090842
3.0,248,70.219652
0.0,129,72.221094
3.0,246,76.292302
5.0,350,82.261786
3.0,246,86.28259
2.0,198,89.501936
5.0,350,95.842184
1.0,173,100.631887
0.0,127,103.409012
0.0,127,106.568274
0.0,129,109.870494
5.0,350,119.980471
5.0,326,129.220179
9.0,404,141.011694
1.0,155,145.2974
5.0,348,155.226593
0.0,127,158.76157
4.0,297,167.176271
3.0,248,174.158341
0.0,127,177.564675
2.0,200,183.147398
3.0,246,190.068461
3.0,252,196.947922
6.0,399,208.282356
4.0,280,215.975861
0.0,127,219.379765
0.0,129,222.669353
3.0,230,229.256582
2.0,200,234.694013
1.0,155,238.953909
1.0,155,243.099368
3.0,254,250.405365
2.0,205,255.978217
4.0,294,264.395495
1.0,159,268.709589
0.0,123,271.962015
1.0,157,276.215055
1.0,155,280.446455
14.0,488,294.298094
1.0,174,299.032217
4.0,293,307.140059
7.0,404,318.774326
3.0,250,325.743902
11.0,472,339.402005
6.0,379,350.319046
4.0,261,357.587198
4.0,299,365.861577
1.0,176,370.55266
0.0,129,374.009249
10.0,450,386.716907
9.0,326,395.665726
3.0,217,401.468117
6.0,337,410.81569
8.0,277,418.37019
6.0,336,427.97788
11.0,271,435.543725
7.0,431,447.57772
4.0,281,455.402717
3.0,255,462.258147
5.0,316,470.865072
4.0,284,478.699117
6.0,381,489.197821
4.0,300,497.321901
7.0,248,504.271628
12.0,422,515.867124
7.0,378,526.395797
14.0,372,536.631154
8.0,497,550.458598
5.0,309,559.028092
12.0,320,567.913923
18.0,696,587.458632
13.0,544,602.652688
17.0,560,618.394647
13.0,541,633.477589
16.0,757,654.720254
15.0,611,672.0191
13.0,613,689.570292
9.0,348,699.059476
21.0,714,719.325369
14.0,632,737.059364
17.0,443,749.431871
16.0,732,770.285979
18.0,678,789.388055
24.0,808,812.27813
13.0,353,822.224529
24.0,801,845.046754
11.0,531,859.92523
18.0,648,878.507545
9.0,490,892.270381
18.0,405,903.556131
28.0,827,926.919699
23.0,794,949.114768
19.0,565,964.872391
21.0,909,990.218727
18.0,781,1012.025971
14.0,574,1027.777579
10.0,483,1041.119689
29.0,682,1060.378092
19.0,813,1082.987834
27.0,877,1107.563544
20.0,609,1124.606145
19.0,727,1144.826791
23.0,919,1171.039879
48.0,1122,1202.683936
18.0,633,1220.213173
57.0,1160,1253.149995
23.0,860,1277.308275
33.0,902,1302.23323
41.0,845,1325.964283
26.0,590,1342.426073
43.0,1163,1375.190429
71.0,1389,1414.308242
26.0,627,1431.804299
45.0,1178,1464.539947
39.0,1140,1496.310369
61.0,1145,1528.135181
66.0,1253,1563.55196
42.0,882,1587.918753
32.0,981,1615.479525
57.0,1276,1650.862551
68.0,1350,1688.929489
44.0,1079,1719.214937
53.0,1211,1753.231551
36.0,794,1775.523194
34.0,1129,1807.40869
29.0,612,1824.845888
44.0,1002,1852.979745
85.0,1451,1893.870569
96.0,1493,1935.910347
65.0,1379,1974.694475
54.0,1334,2012.265157
83.0,1445,2052.774439
94.0,1417,2092.673968
112.0,1497,2134.88466
129.0,1598,2179.588923
82.0,1277,2215.571364
107.0,1305,2251.656133
89.0,1293,2287.570343
103.0,1440,2327.921093
150.0,1480,2369.749126
185.0,1747,2418.759442
117.0,1437,2458.952181
218.0,1788,2508.526421
53.0,1059,2537.711164
311.0,2215,2600.018749
105.0,1185,2633.068136
110.0,1682,2680.021348
128.0,1418,2719.460507
283.0,1437,2759.474246
284.0,2116,2818.801257
194.0,1475,2860.055014
343.0,2002,2916.072067
91.0,1071,2945.4834
335.0,1883,2997.904344
399.0,2362,3063.55263
352.0,3373,3157.365104
131.0,1584,3201.62924
328.0,2118,3260.20898
211.0,1600,3304.167085
341.0,1858,3355.630537
415.0,5862,3518.398555
366.0,2070,3575.796571
412.0,2736,3651.817489
224.0,1668,3697.979512
359.0,1903,3751.015814
382.0,5359,3899.976055
402.0,2541,3970.870764
109.0,1468,4011.515742
287.0,1883,4063.722161
399.0,2127,4122.431164
431.0,3019,4206.001983
363.0,1972,4259.966038
332.0,2784,4336.070703
415.0,2355,4401.499329
406.0,2718,4476.42438
424.0,2890,4556.165384
328.0,1935,4609.42067
365.0,2077,4666.807438
363.0,2197,4727.90076
