#{"t_start": 1511316779.0146143, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
1.0,153,9.042181
1.0,155,13.880461
0.0,127,17.303445
0.0,123,20.839214
1.0,170,25.660895
4.0,280,33.857493
0.0,129,37.375993
2.0,202,43.269676
2.0,223,49.848968
0.0,129,53.346002
4.0,297,62.145907
1.0,175,67.210336
2.0,222,73.685574
1.0,170,78.604806
0.0,127,82.216657
1.0,153,86.557326
1.0,173,91.545924
2.0,200,97.325919
0.0,127,100.678379
0.0,127,104.222766
1.0,157,108.493049
0.0,125,111.921799
2.0,198,117.580696
8.0,374,128.718747
0.0,129,132.448889
1.0,175,137.268064
2.0,198,142.925791
2.0,202,148.678062
3.0,248,155.954873
0.0,127,159.279032
5.0,328,169.06872
0.0,129,172.656633
0.0,127,176.058502
2.0,202,181.902874
0.0,129,185.409136
0.0,129,188.948969
2.0,202,194.86991
8.0,375,206.218632
0.0,127,209.578821
2.0,200,215.330751
0.0,129,218.790783
0.0,125,222.281362
0.0,125,225.669857
3.0,248,232.692255
7.0,426,245.512386
1.0,154,249.782382
0.0,127,253.121723
0.0,129,256.808459
2.0,198,262.627485
5.0,350,273.114828
0.0,127,276.670947
1.0,153,281.015368
1.0,153,285.21242
4.0,297,294.15289
1.0,173,299.260608
2.0,198,305.025457
2.0,188,310.39643
0.0,127,313.854636
0.0,127,317.382229
0.0,127,320.869033
3.0,250,328.189739
0.0,125,331.727085
2.0,202,337.550473
4.0,319,347.155635
2.0,202,352.776258
0.0,129,356.330168
5.0,352,366.537105
3.0,248,373.546189
1.0,153,377.923646
0.0,125,381.536215
1.0,175,386.526062
11.0,466,400.482727
0.0,129,403.982534
9.0,404,416.307568
3.0,230,422.942302
9.0,425,435.630003
2.0,183,440.811831
1.0,175,445.773993
10.0,432,458.547704
0.0,127,461.873356
3.0,269,469.833717
2.0,203,475.461912
2.0,204,481.48004
3.0,243,488.425014
3.0,256,495.666347
2.0,183,500.79091
5.0,350,511.009955
12.0,530,526.769242
15.0,523,542.162019
7.0,248,549.193781
5.0,325,558.628765
11.0,392,569.745069
3.0,234,576.618244
5.0,308,585.525545
11.0,405,597.237236
8.0,281,605.33833
17.0,725,626.632272
19.0,643,645.484471
8.0,279,653.435218
7.0,433,666.028673
4.0,286,674.225456
5.0,294,682.653637
18.0,645,701.516197
7.0,448,714.326441
7.0,250,721.411338
8.0,459,734.756488
12.0,594,752.19711
8.0,507,767.159263
19.0,662,786.566533
13.0,372,797.368863
14.0,401,809.082615
13.0,303,817.666692
14.0,594,834.956306
14.0,386,846.128213
9.0,465,859.455949
13.0,478,872.995798
18.0,631,891.636755
15.0,399,903.096493
11.0,496,917.648491
12.0,601,934.979568
14.0,688,955.335689
20.0,738,977.000446
8.0,430,989.16871
21.0,713,1010.112239
14.0,375,1020.872998
7.0,387,1032.05191
10.0,375,1043.09513
18.0,719,1063.945942
29.0,891,1090.074306
25.0,650,1108.67799
22.0,664,1127.896193
19.0,830,1152.076539
18.0,640,1170.763915
18.0,723,1191.841617
7.0,450,1204.573443
24.0,770,1227.160053
27.0,478,1241.008504
13.0,624,1258.908709
35.0,924,1286.215092
26.0,551,1302.096986
16.0,655,1321.234942
21.0,646,1339.869474
20.0,768,1362.221711
24.0,895,1388.285353
44.0,1267,1425.753091
51.0,983,1454.512417
40.0,1113,1487.062052
18.0,541,1502.488317
20.0,766,1524.591017
30.0,878,1549.950049
57.0,1020,1579.447623
30.0,810,1602.816034
38.0,850,1627.667416
35.0,1107,1659.927547
36.0,901,1686.237279
44.0,1249,1722.638108
28.0,912,1748.967556
34.0,863,1773.840734
45.0,1032,1803.845649
49.0,1117,1836.139278
77.0,1401,1877.08586
47.0,1149,1910.366948
37.0,757,1932.113307
55.0,1183,1966.904491
29.0,858,1991.565641
92.0,1375,2031.576381
50.0,1374,2071.421319
47.0,1110,2103.496907
56.0,1272,2140.463333
56.0,1135,2173.580747
100.0,1484,2216.522747
73.0,1430,2258.212355
101.0,1461,2300.530506
91.0,1373,2340.494808
125.0,1471,2383.597546
54.0,1396,2423.987376
263.0,1826,2477.161662
78.0,1209,2512.260425
79.0,1294,2550.008037
174.0,1554,2594.674519
134.0,1550,2639.360107
103.0,1391,2679.243346
129.0,1402,2719.920267
286.0,1256,2756.33103
50.0,1050,2786.491345
146.0,1595,2832.642401
67.0,1109,2864.318354
57.0,1195,2898.791514
345.0,2157,2961.565856
76.0,1257,2997.735986
43.0,890,3023.141956
54.0,872,3048.267373
377.0,2000,3106.411422
297.0,1819,3158.968048
61.0,1190,3193.583349
401.0,1666,3242.127173
160.0,1707,3291.369951
290.0,1179,3325.124218
322.0,2005,3382.9589
198.0,1877,3436.833699
325.0,1899,3491.867548
372.0,2178,3555.126004
185.0,1548,3599.603306
317.0,1467,3641.804233
383.0,2165,3704.066066
428.0,2445,3774.769723
328.0,2222,3838.59345
406.0,2178,3900.820318
433.0,3078,3989.37222
327.0,2100,4049.613018
384.0,2138,4111.067962
405.0,2113,4171.75711
403.0,2697,4249.378994
335.0,2712,4327.575801
411.0,2218,4391.91762
403.0,4138,4511.015575
426.0,2531,4584.427273
401.0,2653,4659.92142
420.0,2405,4728.818394
424.0,2474,4799.33992
408.0,2392,4868.084424
420.0,2551,4940.970891
418.0,1767,4991.704456
211.0,1781,5043.182952
409.0,2633,5118.296367
329.0,3314,5213.347428
312.0,1663,5260.831272
428.0,2202,5323.955703
422.0,2689,5400.562293
483.0,3784,5509.113022
427.0,5532,5667.50648
354.0,1889,5721.563239
419.0,2270,5786.88411
375.0,2193,5849.475708
414.0,2332,5916.49406
318.0,1943,5972.048026
318.0,7242,6178.958388
715.0,4396,6304.884252
428.0,4524,6434.178228
458.0,3105,6523.072008
400.0,2143,6583.619716
363.0,2097,6643.177979
420.0,4382,6768.925937
288.0,1703,6817.353086
357.0,2223,6880.2127
424.0,5481,7036.45578
424.0,2763,7115.303712
428.0,4729,7250.042353
424.0,2478,7319.813166
424.0,3202,7410.482203
413.0,2204,7472.972835
414.0,4645,7605.323996
435.0,2942,7688.636548
418.0,2260,7753.000057
379.0,5175,7900.442052
409.0,1958,7956.631313
328.0,1670,8004.394406
401.0,2675,8081.132767
855.0,4667,8214.904753
428.0,6420,8397.950577
832.0,4970,8539.720553
425.0,2682,8616.31767
399.0,3020,8702.211722
381.0,1872,8755.49673
438.0,6424,8938.1677
442.0,3326,9032.772105
391.0,2474,9103.537921
437.0,5752,9267.168205
408.0,2717,9344.465013
448.0,2577,9417.914557
785.0,4919,9516.581573
424.0,2656,9560.273791
421.0,3034,9610.248678
428.0,3497,9667.092656
425.0,5094,9749.668329
