#{"gym_version": "0.9.3", "env_id": "BreakoutNoFrameskip-v4", "t_start": 1511399883.93901}
r,l,t
5.0,328,2.448816
3.0,230,3.113298
1.0,177,3.433722
1.0,173,3.745179
3.0,256,4.404564
0.0,129,4.638162
1.0,173,4.959703
3.0,230,5.56829
0.0,129,5.807088
0.0,127,6.046554
0.0,127,6.277962
0.0,127,6.512186
1.0,174,7.004221
2.0,205,7.370293
0.0,129,7.60448
0.0,125,8.01955
1.0,176,8.345589
2.0,203,8.720856
1.0,176,9.226107
0.0,129,9.462372
1.0,175,9.779833
0.0,127,10.008192
0.0,129,10.408714
3.0,267,10.890095
0.0,129,11.111013
0.0,125,11.503285
1.0,155,11.786285
1.0,175,12.106756
3.0,250,12.738857
0.0,127,12.959457
1.0,155,13.230299
1.0,157,13.522093
1.0,157,13.980793
1.0,155,14.27427
1.0,173,14.606144
0.0,127,14.840166
1.0,173,15.356894
1.0,173,15.665589
1.0,155,15.954947
1.0,173,16.461163
3.0,230,16.884928
0.0,129,17.117863
1.0,155,17.587369
0.0,127,17.81636
3.0,230,18.238492
1.0,177,18.713786
1.0,173,19.039394
1.0,155,19.312205
2.0,204,19.676423
1.0,175,20.170537
1.0,170,20.483331
1.0,173,20.790501
2.0,203,21.346411
0.0,129,21.568483
0.0,127,21.793022
7.0,370,22.627922
0.0,127,22.848751
1.0,173,23.182273
0.0,127,23.586692
3.0,270,24.081721
0.0,127,24.308673
4.0,290,25.013672
0.0,127,25.250249
0.0,127,25.477574
2.0,206,26.040152
1.0,173,26.365881
1.0,176,26.700716
4.0,248,27.353673
0.0,125,27.592211
4.0,286,28.316948
0.0,125,28.535455
0.0,125,28.762206
1.0,174,29.072491
1.0,171,29.558425
1.0,157,29.840099
1.0,157,30.140058
3.0,235,30.762947
1.0,152,31.060741
0.0,129,31.291991
0.0,129,31.524826
1.0,157,31.994394
1.0,156,32.271757
0.0,129,32.508664
2.0,187,32.851111
2.0,199,33.408896
1.0,171,33.725438
0.0,127,33.944647
2.0,204,34.513856
1.0,173,34.844393
0.0,127,35.081905
1.0,174,35.614952
0.0,127,35.83952
4.0,286,36.373201
0.0,129,36.823015
4.0,262,37.308557
0.0,127,37.535408
1.0,155,38.038423
0.0,127,38.27138
2.0,200,38.642763
0.0,127,38.860523
0.0,127,39.308236
3.0,249,39.746308
0.0,129,39.982695
0.0,125,40.218054
1.0,176,40.782382
1.0,155,41.060189
3.0,210,41.45625
1.0,173,42.002314
3.0,253,42.458247
1.0,174,42.991025
3.0,252,43.451674
1.0,157,43.732576
1.0,157,44.229949
2.0,185,44.565642
1.0,174,44.882307
2.0,185,45.442723
1.0,157,45.728641
0.0,129,45.954532
0.0,125,46.177093
2.0,186,46.727393
2.0,226,47.138672
0.0,127,47.36351
0.0,127,47.591304
1.0,175,48.120719
0.0,127,48.347112
2.0,185,48.683675
2.0,224,49.302587
1.0,155,49.584459
0.0,125,49.810474
0.0,125,50.035097
0.0,127,50.47826
2.0,227,50.889977
2.0,183,51.218634
0.0,125,51.659941
1.0,157,51.938472
0.0,125,52.163898
2.0,208,52.544687
1.0,155,53.026395
3.0,273,53.509933
0.0,127,53.734618
0.0,125,54.165283
2.0,185,54.505029
1.0,153,54.780072
2.0,186,55.31978
1.0,178,55.641819
1.0,177,55.960986
0.0,125,56.174483
2.0,186,56.741182
0.0,129,56.977551
2.0,224,57.398124
1.0,174,57.92375
1.0,174,58.242677
1.0,177,58.561771
1.0,169,59.079949
2.0,222,59.477616
0.0,127,59.69497
2.0,225,60.334492
2.0,221,60.753075
1.0,157,61.043151
1.0,151,61.525999
2.0,222,61.911252
2.0,205,62.275557
3.0,228,62.887942
0.0,123,63.121084
4.0,280,63.868175
1.0,157,64.145218
7.0,449,65.186036
0.0,127,65.413338
0.0,127,65.655236
1.0,157,65.951179
1.0,175,66.476922
2.0,184,66.830016
0.0,127,67.050987
0.0,123,67.485409
0.0,123,67.698161
3.0,269,68.202919
2.0,185,68.758816
2.0,204,69.13123
1.0,155,69.404332
1.0,155,69.903179
0.0,129,70.142773
0.0,125,70.373401
2.0,199,70.736015
1.0,155,71.220355
0.0,127,71.44601
1.0,157,71.735611
4.0,243,72.392938
1.0,173,72.702747
2.0,204,73.079019
1.0,153,73.564081
3.0,218,73.964623
2.0,206,74.331367
1.0,155,74.816841
2.0,199,75.203185
1.0,153,75.478131
1.0,159,75.780946
3.0,232,76.44134
0.0,125,76.671181
1.0,157,76.966661
1.0,171,77.493328
1.0,177,77.816545
1.0,155,78.094824
1.0,155,78.577069
3.0,216,78.97772
1.0,173,79.281713
1.0,173,79.797981
2.0,183,80.126053
0.0,127,80.353283
2.0,203,80.943017
3.0,269,81.429066
0.0,127,81.647666
0.0,125,81.878697
2.0,202,82.478654
0.0,129,82.713813
4.0,278,83.442143
2.0,190,83.788576
2.0,222,84.190457
2.0,202,84.756963
5.0,311,85.341377
1.0,174,85.866936
2.0,201,86.22822
0.0,125,86.450073
1.0,155,86.723619
2.0,202,87.307783
0.0,123,87.538005
3.0,256,88.006213
8.0,408,88.983261
3.0,267,89.752042
2.0,199,90.164096
0.0,123,90.442663
3.0,251,91.163756
5.0,337,91.92784
11.0,328,92.859231
1.0,157,93.165193
2.0,221,93.843368
8.0,437,94.950333
2.0,227,95.415172
3.0,250,95.919519
1.0,155,96.485434
2.0,204,96.890193
2.0,204,97.29559
10.0,397,98.346478
5.0,328,99.23873
1.0,155,99.550393
0.0,125,99.797539
7.0,390,100.815317
0.0,125,101.061364
4.0,301,101.886056
1.0,177,102.230695
1.0,178,102.564457
2.0,200,103.188239
1.0,155,103.500324
1.0,175,103.834085
3.0,236,104.53899
0.0,123,104.773047
1.0,155,105.070896
2.0,224,105.732795
0.0,123,105.95628
1.0,173,106.286018
0.0,127,106.529604
5.0,331,107.401147
0.0,129,107.654164
2.0,222,108.322592
3.0,252,108.79917
0.0,125,109.045436
7.0,288,109.836015
1.0,155,110.126924
0.0,125,110.36531
0.0,127,110.826624
1.0,173,111.163376
0.0,127,111.406585
0.0,127,111.649745
2.0,182,112.217859
2.0,183,112.574684
1.0,155,112.886723
0.0,129,113.357668
1.0,173,113.698016
2.0,218,114.11809
0.0,127,114.361638
7.0,388,115.324205
1.0,175,115.904234
1.0,158,116.207923
0.0,127,116.471893
0.0,127,116.715086
0.0,129,116.962973
2.0,220,117.631953
2.0,203,118.030349
0.0,129,118.284864
1.0,155,118.821487
3.0,216,119.273894
3.0,212,119.972145
6.0,342,120.700625
12.0,401,121.722382
0.0,125,121.990336
2.0,180,122.34404
1.0,175,122.936485
2.0,182,123.31405
8.0,364,124.281225
3.0,232,124.762996
3.0,231,125.469778
5.0,291,126.041235
2.0,202,126.666586
2.0,198,127.061485
2.0,203,127.481984
2.0,190,128.078992
0.0,129,128.440288
1.0,173,128.767046
3.0,248,129.426488
0.0,129,129.634475
0.0,125,129.852245
0.0,123,130.057309
0.0,129,130.270301
1.0,154,130.744583
7.0,405,131.661118
3.0,248,132.08329
1.0,175,132.38006
7.0,360,133.235455
4.0,297,133.972263
0.0,127,134.19759
1.0,155,134.464426
0.0,127,134.676591
2.0,202,135.245218
0.0,127,135.466658
2.0,224,135.866226
3.0,250,136.510715
0.0,125,136.728684
4.0,299,137.246887
0.0,129,137.695697
2.0,202,138.053462
0.0,127,138.257278
0.0,125,138.471558
0.0,125,138.897138
1.0,154,139.165071
4.0,299,139.888302
1.0,154,140.152051
1.0,157,140.425357
8.0,447,141.388049
0.0,127,141.593615
2.0,222,142.170787
3.0,248,142.61717
4.0,282,143.306547
5.0,347,143.91688
0.0,127,144.130005
0.0,127,144.550843
3.0,252,145.005515
3.0,246,145.633362
0.0,127,145.850674
0.0,129,146.075268
2.0,200,146.420329
3.0,234,147.018435
0.0,129,147.241489
15.0,415,148.160995
0.0,125,148.377951
3.0,253,148.814977
3.0,275,149.492714
3.0,275,150.182996
1.0,175,150.475176
0.0,125,150.689896
2.0,202,151.025274
1.0,153,151.512646
0.0,127,151.737705
1.0,155,152.000721
2.0,184,152.516728
2.0,202,152.858588
0.0,125,153.072994
5.0,306,153.798921
0.0,129,154.026001
1.0,154,154.298824
0.0,127,154.51366
4.0,280,155.194675
5.0,292,155.688678
2.0,225,156.278558
3.0,276,156.762561
0.0,127,157.185594
2.0,202,157.536288
1.0,155,157.79554
0.0,125,158.006791
3.0,228,158.598108
4.0,297,159.109851
6.0,379,159.977968
0.0,127,160.190153
3.0,248,160.82509
3.0,248,161.267148
4.0,319,162.050894
3.0,252,162.47832
3.0,248,163.11049
4.0,280,163.591482
3.0,252,164.24175
4.0,278,164.736536
5.0,302,165.519572
2.0,220,165.905614
2.0,201,166.479624
3.0,273,166.965306
1.0,175,167.258643
2.0,201,167.826408
1.0,155,168.094188
0.0,127,168.312851
4.0,295,169.034033
1.0,173,169.331918
0.0,125,169.531495
0.0,125,169.964931
5.0,350,170.570874
8.0,421,171.517226
3.0,249,171.947006
3.0,250,172.595627
4.0,244,173.030198
5.0,292,173.73458
2.0,182,174.043454
1.0,154,174.524966
0.0,123,174.74436
2.0,202,175.09646
3.0,235,175.706873
4.0,261,176.149376
1.0,157,176.421398
1.0,154,176.90175
1.0,155,177.163548
3.0,249,177.588217
9.0,488,178.65677
2.0,202,179.214618
0.0,127,179.424898
1.0,171,179.714362
2.0,204,180.280839
0.0,127,180.498077
8.0,437,181.452277
6.0,342,182.047195
6.0,338,182.852205
1.0,173,183.146954
2.0,188,183.471839
4.0,279,184.168848
0.0,125,184.380413
2.0,186,184.92261
2.0,183,185.244658
3.0,253,185.677533
4.0,297,186.409301
2.0,224,186.797935
5.0,307,187.555916
0.0,129,187.768986
0.0,127,187.990402
1.0,157,188.470582
0.0,127,188.691036
0.0,127,188.899364
1.0,155,189.168861
0.0,129,189.601425
2.0,200,189.949828
3.0,235,190.375409
2.0,187,190.922313
2.0,202,191.253706
3.0,230,191.653109
1.0,153,192.12359
0.0,129,192.37745
4.0,307,193.111379
2.0,201,193.437739
8.0,332,194.226509
2.0,203,194.574783
2.0,202,194.906821
2.0,225,195.496973
2.0,204,195.843745
4.0,278,196.523778
0.0,127,196.732356
2.0,223,197.105784
0.0,127,197.325471
1.0,173,197.838315
1.0,155,198.097809
2.0,182,198.407189
3.0,212,198.997778
0.0,125,199.210465
0.0,127,199.421064
0.0,127,199.649236
0.0,127,200.100968
0.0,129,200.327325
3.0,209,200.691119
0.0,125,200.900745
2.0,202,201.45852
6.0,345,202.069506
4.0,283,202.778691
0.0,127,202.987935
1.0,154,203.25371
1.0,155,203.740235
4.0,280,204.213053
0.0,125,204.419715
0.0,127,204.86074
3.0,228,205.238652
4.0,259,205.901184
2.0,201,206.23557
0.0,127,206.439989
0.0,127,206.651865
1.0,155,207.131899
3.0,236,207.51702
1.0,157,207.78137
5.0,342,208.58784
8.0,420,209.538811
3.0,216,209.907573
2.0,202,210.480444
0.0,125,210.687382
3.0,250,211.126668
3.0,221,211.73091
3.0,252,212.167174
0.0,129,212.385099
12.0,457,213.399396
0.0,129,213.612733
6.0,329,214.399547
3.0,252,215.06271
2.0,180,215.358699
4.0,259,215.791484
5.0,329,216.581263
8.0,421,217.516762
2.0,189,217.823771
3.0,268,218.493597
3.0,234,218.881785
4.0,285,219.582567
0.0,129,219.811626
1.0,155,220.074626
3.0,211,220.434505
2.0,204,221.005675
2.0,207,221.340228
1.0,150,221.585246
0.0,125,222.021408
3.0,267,222.474916
0.0,125,222.689076
3.0,231,223.296063
2.0,182,223.595592
1.0,153,223.861733
7.0,244,224.510668
9.0,348,225.114358
0.0,127,225.548977
23.0,483,226.578652
0.0,125,226.792436
3.0,248,227.200838
9.0,458,228.213327
1.0,178,228.520988
1.0,158,229.010044
0.0,129,229.225329
0.0,129,229.44582
3.0,214,230.039264
2.0,217,230.41448
7.0,246,230.847687
0.0,123,231.265293
0.0,127,231.503382
3.0,228,231.897826
2.0,220,232.487636
3.0,217,232.864144
3.0,216,233.225118
0.0,127,233.656077
16.0,485,234.707748
0.0,125,234.917564
6.0,380,235.791951
1.0,157,236.051729
4.0,262,236.520727
2.0,190,237.055309
4.0,297,237.58592
0.0,127,237.805014
2.0,202,238.367366
1.0,155,238.640304
0.0,129,238.856967
3.0,250,239.480698
2.0,198,239.841713
2.0,184,240.160952
4.0,260,240.826684
8.0,295,241.359803
0.0,127,241.782348
4.0,260,242.231677
0.0,127,242.452537
0.0,127,242.905601
4.0,297,243.417319
0.0,127,243.631161
6.0,360,244.489762
9.0,454,245.48077
5.0,350,246.299221
1.0,153,246.545738
0.0,127,246.765928
2.0,200,247.106816
7.0,245,247.73334
1.0,153,247.997923
5.0,350,248.828877
0.0,127,249.049608
4.0,263,249.718131
3.0,248,250.134718
0.0,127,250.347158
3.0,235,250.968877
0.0,127,251.184717
0.0,127,251.397977
5.0,350,252.202628
1.0,153,252.466806
1.0,157,252.732987
0.0,127,253.168102
5.0,350,253.759431
3.0,229,254.387192
2.0,202,254.726233
0.0,129,254.953737
3.0,235,255.578421
0.0,125,255.782417
1.0,155,256.05137
5.0,334,256.830793
2.0,200,257.167647
0.0,127,257.377102
3.0,227,257.977009
5.0,350,258.576212
0.0,127,259.02605
5.0,350,259.624229
1.0,152,260.116689
0.0,129,260.338598
0.0,129,260.560687
0.0,125,260.780886
1.0,154,261.044487
0.0,127,261.48645
0.0,127,261.692359
5.0,312,262.435064
0.0,127,262.651689
4.0,297,263.179806
7.0,341,263.986388
3.0,246,264.407482
0.0,129,264.840178
6.0,346,265.432385
3.0,246,266.08086
3.0,248,266.509426
0.0,125,266.725156
8.0,277,267.434507
3.0,230,267.831936
6.0,331,268.611777
9.0,404,269.558897
5.0,350,270.142664
0.0,127,270.573747
5.0,282,271.036983
5.0,350,271.865413
0.0,129,272.093756
1.0,157,272.354945
2.0,200,272.925413
4.0,284,273.412261
0.0,127,273.637861
0.0,129,274.080248
4.0,241,274.48296
0.0,125,274.699455
4.0,297,275.419169
1.0,155,275.685381
5.0,350,276.525033
5.0,350,277.128261
0.0,129,277.57353
4.0,297,278.072864
0.0,129,278.301394
0.0,125,278.727235
4.0,255,279.151987
3.0,248,279.809896
2.0,182,280.117246
0.0,129,280.325476
12.0,437,281.284241
0.0,125,281.494381
2.0,198,281.844831
4.0,297,282.559225
5.0,348,283.375926
2.0,200,283.721342
9.0,404,284.619219
0.0,129,284.832859
4.0,297,285.563669
0.0,129,285.780842
0.0,127,285.981815
0.0,127,286.1949
5.0,350,287.016398
2.0,204,287.356605
0.0,127,287.794935
5.0,350,288.393843
10.0,497,289.497766
2.0,202,289.855356
0.0,129,290.298561
0.0,125,290.508959
0.0,127,290.715145
5.0,350,291.528366
8.0,436,292.509505
0.0,123,292.717835
0.0,127,292.930585
2.0,182,293.24602
0.0,129,293.689439
0.0,129,293.919897
4.0,264,294.370175
0.0,125,294.813776
2.0,188,295.123483
0.0,127,295.340551
2.0,225,295.953605
1.0,155,296.21399
0.0,129,296.424191
1.0,152,296.679994
10.0,354,297.494175
4.0,293,297.992305
4.0,244,298.63585
2.0,202,298.974311
2.0,198,299.543486
0.0,127,299.752657
2.0,200,300.08686
0.0,127,300.303201
0.0,129,300.741707
0.0,127,300.954825
9.0,398,301.871329
2.0,198,302.20606
0.0,123,302.422801
5.0,283,303.122989
3.0,246,303.547269
8.0,440,304.517218
4.0,243,304.932598
10.0,396,305.836936
8.0,385,306.716138
2.0,224,307.101986
2.0,202,307.671499
0.0,127,307.887705
7.0,399,308.798923
4.0,279,309.258917
0.0,127,309.464143
4.0,244,310.093279
1.0,155,310.356873
5.0,350,311.173725
5.0,323,311.745983
9.0,531,312.907863
2.0,200,313.4763
9.0,406,314.407432
0.0,125,314.621834
27.0,585,315.846033
11.0,557,317.032903
1.0,173,317.320191
5.0,288,318.039372
8.0,388,318.932412
12.0,476,319.759354
0.0,129,320.201296
4.0,299,320.706788
0.0,127,320.937142
2.0,200,321.497775
2.0,204,321.838635
0.0,129,322.051723
8.0,432,323.036726
6.0,396,323.935828
13.0,572,325.111161
0.0,127,325.310168
1.0,155,325.797372
1.0,154,326.069268
4.0,264,326.528519
1.0,154,327.040198
4.0,302,327.544453
6.0,370,328.413416
8.0,458,329.438668
7.0,391,330.090258
6.0,318,330.864589
0.0,127,331.075742
0.0,129,331.287833
4.0,278,332.0009
8.0,390,332.892421
2.0,186,333.198993
1.0,172,333.483083
3.0,251,334.146171
0.0,129,334.364714
4.0,260,335.035073
4.0,301,335.546834
3.0,246,336.184354
1.0,154,336.451656
2.0,188,336.76489
2.0,200,337.327428
2.0,202,337.676714
3.0,248,338.094278
3.0,248,338.744398
16.0,502,339.812129
2.0,200,340.154941
0.0,127,340.376319
0.0,125,340.814279
2.0,204,341.146346
4.0,303,341.890772
4.0,296,342.39511
0.0,127,342.609225
3.0,246,343.255305
0.0,127,343.478128
6.0,332,344.288893
0.0,127,344.499558
3.0,252,344.906337
0.0,129,345.116568
10.0,532,346.47526
4.0,276,346.949556
6.0,340,347.758979
3.0,232,348.167697
4.0,297,348.900311
2.0,199,349.235467
10.0,549,350.423103
2.0,200,350.751333
4.0,257,351.41427
1.0,155,351.670329
5.0,276,352.366013
1.0,155,352.634513
6.0,326,353.432431
6.0,340,354.025182
3.0,248,354.661405
3.0,253,355.087639
4.0,269,355.777966
1.0,153,356.044033
1.0,155,356.299723
1.0,156,356.570179
3.0,210,357.164326
0.0,127,357.391246
2.0,184,357.706145
4.0,260,358.378055
0.0,123,358.581723
2.0,186,358.907266
6.0,359,359.744823
6.0,360,360.598094
0.0,127,360.807212
1.0,155,361.069413
1.0,171,361.57526
0.0,129,361.790715
0.0,129,361.996744
2.0,182,362.292399
