#{"t_start": 1511458562.4448442, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,1187,16.199709
-19.0,1098,28.280656
-20.0,978,38.968629
-21.0,819,47.950016
-21.0,817,56.892667
-20.0,857,66.283541
-21.0,824,75.31059
-20.0,944,85.663596
-21.0,821,94.685302
-20.0,955,105.196826
-20.0,870,114.762791
-21.0,762,123.08055
-21.0,764,131.449765
-21.0,820,140.436448
-20.0,856,149.757211
-21.0,988,160.698013
-21.0,852,169.964085
-20.0,984,180.724469
-20.0,897,190.651994
-21.0,976,201.33154
-20.0,963,211.958244
-19.0,1038,223.33855
-21.0,758,231.667459
-21.0,810,240.47379
-21.0,840,249.743965
-21.0,764,258.135822
-21.0,818,267.128322
-21.0,838,276.344554
-18.0,1116,288.597652
-21.0,874,298.178027
-18.0,1025,309.539119
-21.0,785,318.170696
-21.0,824,327.269833
-21.0,790,335.877605
-20.0,838,345.015192
-20.0,981,355.846396
-20.0,950,366.265539
-20.0,1027,377.4296
-20.0,991,388.339581
-21.0,838,397.525673
-21.0,938,407.819246
-21.0,880,417.466179
-21.0,867,426.973794
-21.0,878,436.619514
-20.0,913,446.5788
-20.0,1045,458.064538
-20.0,917,468.009427
-20.0,898,477.864232
-20.0,916,487.889659
-21.0,818,496.805382
-21.0,849,506.119125
-20.0,1017,517.338239
-19.0,1132,529.763473
-20.0,1001,540.791736
-20.0,987,551.655827
-19.0,1019,562.824635
-20.0,1022,574.006009
-21.0,971,584.669369
-21.0,972,595.35307
-21.0,789,604.011895
-21.0,906,613.900299
-21.0,906,623.870632
-19.0,978,634.595369
-19.0,1220,647.945204
-21.0,1027,659.2448
-19.0,1023,670.447341
-21.0,940,680.864561
-19.0,960,691.344659
-20.0,896,701.131673
-21.0,785,709.64851
-21.0,906,719.552017
-20.0,836,728.79106
-21.0,839,738.069288
-20.0,836,747.268851
-21.0,848,756.507326
-20.0,914,766.601892
-21.0,906,776.537038
-21.0,821,785.569433
-20.0,831,794.655814
-20.0,867,804.20621
-21.0,965,814.717331
-20.0,921,824.842794
-21.0,779,833.43339
-20.0,943,843.931947
-21.0,952,854.347884
-20.0,953,864.80346
-21.0,866,874.321126
-20.0,842,883.504826
-20.0,837,892.582852
-20.0,979,903.334326
-20.0,928,913.511573
-19.0,1097,925.652354
-21.0,850,934.949717
-19.0,932,945.220164
-18.0,1217,958.552173
-20.0,995,969.434329
-20.0,1007,980.471467
-21.0,824,989.478195
-21.0,824,998.530582
-21.0,941,1008.796222
-20.0,1051,1020.284289
-20.0,989,1031.096969
-21.0,940,1041.40496
-20.0,958,1052.001316
-21.0,908,1062.050745
-20.0,1106,1074.098286
-21.0,906,1084.126678
-21.0,911,1094.061253
-20.0,896,1103.922801
-21.0,959,1114.447776
-21.0,972,1125.125605
-20.0,918,1135.191582
-21.0,958,1145.795356
-20.0,948,1156.216937
-18.0,1314,1170.540691
-21.0,813,1179.485088
-21.0,818,1188.510349
-20.0,1037,1199.8975
-20.0,894,1209.757286
-20.0,869,1219.33351
-20.0,1083,1231.221877
-20.0,1031,1242.514032
-21.0,851,1251.838782
-18.0,1023,1263.101484
-18.0,1027,1274.326216
-18.0,1212,1287.599747
-21.0,912,1297.619448
-19.0,994,1308.49938
-19.0,990,1319.37054
-19.0,1059,1330.966726
-20.0,1158,1343.677011
-20.0,904,1353.525479
-20.0,1119,1365.803687
-20.0,883,1375.550447
-21.0,778,1384.120133
-21.0,885,1393.835165
-19.0,1097,1405.845595
-21.0,954,1416.328285
-21.0,882,1426.01975
-18.0,1192,1439.212679
-19.0,1111,1451.377377
-19.0,995,1462.26625
-20.0,900,1472.114131
-20.0,896,1481.953747
-18.0,1410,1497.428653
-19.0,1203,1510.67253
-18.0,1201,1523.864002
-21.0,926,1534.046598
-20.0,839,1543.250344
-19.0,1125,1555.658402
-19.0,1036,1567.114105
-20.0,1079,1578.864073
-20.0,1004,1589.811231
-21.0,880,1599.45483
-18.0,1225,1612.990862
-19.0,1081,1624.764063
-20.0,1050,1636.229135
-18.0,1114,1648.458543
-20.0,1006,1659.543915
-17.0,1455,1675.482125
-19.0,1072,1687.254469
-21.0,961,1697.74755
-20.0,982,1708.524873
-20.0,962,1719.044466
-20.0,1115,1731.245376
-18.0,1140,1743.766625
-19.0,1077,1755.598865
-21.0,954,1766.083903
-19.0,1013,1777.197334
-20.0,991,1788.050493
-20.0,1023,1799.198883
-21.0,1054,1810.787931
-17.0,1350,1825.481285
-20.0,1161,1838.188702
-17.0,1380,1853.291231
-18.0,1394,1868.574234
-18.0,1315,1882.983358
-19.0,1132,1895.331974
-19.0,1195,1908.36167
-17.0,1409,1923.857464
-18.0,1371,1938.898435
-19.0,1019,1950.093577
-17.0,1555,1967.132571
-17.0,1433,1982.907427
-18.0,1334,1997.575335
-16.0,1479,2013.891114
-18.0,1522,2030.554405
-19.0,1165,2043.272477
-20.0,1634,2061.197339
-16.0,1731,2080.106897
-16.0,1743,2099.180477
-16.0,1521,2115.808039
-19.0,1802,2135.481064
-19.0,1483,2151.762997
-18.0,1555,2168.775039
-20.0,1453,2184.650732
-18.0,1725,2203.497454
-20.0,1643,2221.485509
-18.0,1717,2240.230256
-17.0,1833,2260.3455
-16.0,1674,2278.612283
-16.0,1939,2299.859003
-17.0,1608,2317.562312
-19.0,1501,2333.990919
-14.0,1828,2354.037958
-12.0,2182,2377.953223
-18.0,1755,2397.075629
-12.0,2059,2419.588138
-10.0,2629,2448.360321
-19.0,1532,2465.07378
-14.0,2090,2487.915253
-19.0,1756,2507.230088
-17.0,1768,2526.609493
-21.0,1407,2542.03213
-20.0,865,2551.56531
-20.0,1479,2567.68353
-6.0,2411,2594.218721
-10.0,2305,2619.469878
-11.0,2418,2645.939559
-11.0,2321,2671.154706
-21.0,1669,2689.474535
-20.0,1585,2706.859287
-12.0,1867,2727.307481
-9.0,2343,2752.94678
-21.0,1602,2770.485036
-14.0,1984,2792.240368
-19.0,1657,2810.383094
-7.0,2274,2835.2658
-21.0,1858,2855.660224
-20.0,1729,2874.633529
-18.0,1894,2895.398813
-9.0,2474,2922.479337
-15.0,2289,2947.479004
-18.0,1930,2968.528265
-10.0,2394,2994.783068
-8.0,2467,3021.762204
-8.0,2426,3048.359051
-18.0,1738,3067.347562
-18.0,1639,3085.335764
-11.0,2156,3108.898362
-11.0,2137,3132.313109
-12.0,2223,3156.70534
-16.0,2099,3179.682786
-17.0,1917,3200.706236
-7.0,2744,3230.69462
-16.0,2093,3253.547509
-15.0,2207,3277.640851
-6.0,2526,3305.268739
-8.0,2809,3335.958766
-14.0,2319,3361.258928
-13.0,2001,3383.171717
-14.0,1897,3403.847965
-4.0,2715,3433.543405
-1.0,2927,3465.50795
-12.0,2180,3489.512542
-6.0,2395,3515.732546
-9.0,2383,3541.842107
-8.0,2662,3571.063538
-2.0,2741,3601.001565
-6.0,2344,3626.741046
-12.0,2139,3650.184582
-3.0,3089,3683.948046
-4.0,3133,3718.139874
-11.0,2218,3742.339724
-7.0,2732,3772.163852
-2.0,3017,3805.18336
2.0,3024,3838.303686
-5.0,2970,3870.851733
-7.0,2587,3899.150674
10.0,2531,3926.916499
-3.0,3082,3960.64389
-1.0,3197,3995.717555
-4.0,3020,4028.682216
-6.0,2793,4059.211108
6.0,3084,4092.893074
2.0,3088,4126.619838
-5.0,3058,4160.002717
7.0,2722,4189.818415
-3.0,3481,4228.100281
-1.0,3344,4264.62408
3.0,3171,4299.27746
4.0,2938,4331.374506
2.0,3147,4365.728702
10.0,2732,4395.567473
1.0,3534,4434.047925
5.0,3870,4476.240508
8.0,2878,4507.642142
13.0,2712,4537.405085
8.0,3097,4571.248715
9.0,3080,4605.035125
8.0,3217,4640.020782
5.0,3620,4679.530385
9.0,3112,4713.527463
10.0,2813,4744.200583
9.0,2926,4775.905511
12.0,2634,4804.580234
11.0,2833,4835.653332
7.0,3119,4869.830609
9.0,2818,4900.625546
14.0,2671,4929.877224
9.0,2785,4960.211287
14.0,2282,4985.161476
18.0,2023,5007.296367
20.0,1763,5026.601406
18.0,1917,5047.584364
16.0,2158,5071.120448
15.0,2244,5095.562434
19.0,1845,5115.752944
19.0,1845,5136.028676
20.0,1709,5154.760589
19.0,1756,5173.971414
20.0,1739,5193.024848
19.0,1934,5214.161646
17.0,1974,5235.732382
19.0,2044,5258.124776
19.0,1759,5277.36084
21.0,1698,5296.036682
20.0,1681,5314.499893
19.0,1899,5335.321175
20.0,1748,5354.474283
21.0,1653,5372.59367
20.0,1751,5391.780414
21.0,1747,5410.863153
20.0,1823,5430.826847
21.0,1700,5449.409169
19.0,1868,5469.881457
20.0,1798,5489.567763
18.0,1914,5510.552895
19.0,1906,5531.395979
20.0,1696,5549.859635
20.0,1845,5570.085624
21.0,1701,5588.692553
20.0,1962,5610.197818
20.0,1730,5629.130375
20.0,1736,5648.003131
21.0,1698,5666.629626
21.0,1821,5686.587925
21.0,1670,5704.875535
20.0,1762,5724.100192
19.0,1842,5744.237595
20.0,1770,5763.669261
20.0,1670,5781.979096
21.0,1779,5801.463886
20.0,1749,5820.648334
20.0,1720,5839.488954
19.0,1769,5858.792858
19.0,1843,5878.931437
20.0,1813,5898.780555
20.0,1776,5918.312145
21.0,1700,5936.875679
20.0,1720,5955.602434
20.0,1699,5974.137558
20.0,1672,5992.4969
19.0,1795,6012.074999
21.0,1697,6030.57556
19.0,1830,6050.548144
20.0,1737,6069.494207
20.0,1750,6088.744328
19.0,1847,6108.96245
20.0,1724,6127.743147
21.0,1700,6146.419482
20.0,1749,6165.460824
20.0,1712,6184.194508
21.0,1696,6202.686663
20.0,1701,6221.236546
21.0,1640,6239.260647
20.0,1734,6258.253483
21.0,1639,6276.282803
20.0,1705,6294.998462
20.0,1716,6313.701673
20.0,1673,6331.948501
20.0,1741,6351.027061
20.0,1765,6370.433927
20.0,1721,6389.224921
21.0,1657,6407.2356
18.0,1907,6428.074448
20.0,1923,6449.089084
20.0,1740,6468.107489
21.0,1698,6486.723507
20.0,1666,6504.968073
20.0,1797,6524.562891
21.0,1670,6542.788886
21.0,1654,6560.860776
21.0,1658,6579.005618
19.0,1772,6598.391369
21.0,1653,6616.610316
19.0,1840,6636.735632
20.0,1707,6655.339683
20.0,1709,6674.055433
20.0,1669,6692.341648
21.0,1789,6711.846812
20.0,1739,6730.927167
21.0,1698,6749.523687
20.0,1733,6768.641687
20.0,1671,6787.005791
21.0,1700,6805.56362
21.0,1641,6823.554564
20.0,1730,6842.576946
21.0,1702,6861.218206
21.0,1699,6879.839532
21.0,1637,6897.626799
20.0,1812,6917.473881
20.0,1710,6936.261858
21.0,1700,6954.929429
21.0,1699,6973.448818
21.0,1696,6991.986505
20.0,1749,7011.123234
21.0,1700,7029.658931
20.0,1778,7049.184507
20.0,1718,7068.086588
19.0,1814,7087.953952
21.0,1640,7105.828158
19.0,1845,7125.90232
21.0,1635,7143.770966
20.0,1706,7162.492158
21.0,1700,7181.055844
21.0,1699,7199.630908
21.0,1636,7217.587305
20.0,1749,7236.726384
20.0,1907,7257.551491
21.0,1658,7275.669516
21.0,1702,7294.351234
19.0,1805,7313.984178
21.0,1696,7332.525975
20.0,1665,7350.804531
20.0,1734,7369.769449
20.0,1677,7388.166871
20.0,1745,7407.379946
19.0,1820,7427.275029
19.0,1792,7442.242685
20.0,1730,7454.742813
20.0,1767,7467.526443
20.0,1705,7479.849384
21.0,1702,7492.130723
