#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.8989105, "gym_version": "0.9.3"}
r,l,t
-20.0,1012,18.048472
-21.0,819,30.565989
-21.0,878,44.045636
-19.0,1012,59.562055
-19.0,1036,79.9354
-21.0,967,105.501666
-21.0,934,130.059964
-17.0,1257,163.528459
-21.0,963,189.113984
-21.0,818,210.931445
-19.0,1002,237.502917
-20.0,841,259.645443
-20.0,868,282.531194
-20.0,1055,310.227916
-19.0,1170,341.429932
-21.0,1062,369.820045
-19.0,1209,401.682585
-20.0,1220,434.180051
-20.0,1164,465.036722
-13.0,1876,514.602255
-4.0,2647,585.073053
12.0,2084,641.059257
16.0,1872,690.512633
17.0,1772,737.631142
19.0,1635,780.855201
-6.0,2540,848.296496
16.0,1871,898.368236
13.0,2295,959.808036
9.0,2449,1025.29215
17.0,1765,1072.068722
11.0,2422,1136.567267
20.0,2003,1189.767442
9.0,2757,1263.562686
15.0,2060,1318.74839
21.0,2048,1373.958818
19.0,2041,1428.382418
19.0,1760,1475.42784
20.0,1561,1517.584641
19.0,2048,1571.74533
20.0,2003,1624.634003
20.0,2006,1678.20858
20.0,1622,1721.19182
14.0,2393,1785.351872
20.0,2069,1840.824988
21.0,1988,1893.763932
15.0,2267,1954.051168
16.0,2080,2009.704468
19.0,1655,2053.669508
20.0,2030,2107.741763
20.0,1654,2151.641382
20.0,2031,2205.468101
21.0,2031,2259.658474
20.0,1567,2301.469454
12.0,2701,2373.886038
20.0,1567,2415.746109
17.0,2421,2480.877921
15.0,2743,2554.544637
16.0,2386,2618.250407
21.0,1991,2672.062914
17.0,2204,2730.576235
20.0,2143,2787.434806
20.0,2002,2840.848503
20.0,1564,2882.361867
19.0,1686,2927.687363
17.0,2593,2996.283918
17.0,2214,3055.414576
19.0,2110,3111.454513
15.0,2776,3173.14929
20.0,2004,3212.214658
18.0,1703,3245.383869
13.0,2608,3296.054125
20.0,2001,3335.097814
20.0,2004,3374.427194
18.0,1972,3412.787907
20.0,1562,3443.221002
20.0,2004,3481.974972
17.0,2494,3530.449498
18.0,2133,3572.035775
20.0,2791,3626.489693
19.0,2054,3666.381604
20.0,2005,3705.544637
17.0,2003,3744.502846
20.0,1561,3775.127414
20.0,2003,3814.219242
20.0,2054,3853.943627
20.0,1590,3885.269254
16.0,3076,3945.567033
20.0,2101,3986.180104
19.0,2258,4030.261618
20.0,2005,4069.481545
20.0,2001,4108.401976
17.0,1966,4146.591193
20.0,2792,4200.856727
20.0,2006,4239.903349
20.0,2007,4279.045975
18.0,2209,4322.011354
18.0,1888,4358.558703
20.0,1651,4390.606198
19.0,2049,4430.241796
21.0,2051,4470.017084
19.0,1671,4503.157388
18.0,2184,4545.725833
19.0,2178,4587.950134
18.0,2178,4630.116622
18.0,2205,4672.840282
18.0,2042,4713.110721
20.0,1561,4743.524294
19.0,2720,4796.48631
18.0,2290,4841.197623
20.0,1567,4871.735548
20.0,2788,4925.99833
20.0,2791,4980.163634
20.0,1567,5010.427075
18.0,2283,5054.95831
18.0,2187,5097.443635
18.0,1872,5133.836537
17.0,2385,5180.55947
18.0,2348,5226.16696
18.0,2287,5270.799573
19.0,1703,5303.920062
20.0,1565,5334.564793
18.0,2693,5387.250623
18.0,2292,5431.655763
19.0,2145,5473.430106
20.0,2053,5513.493161
20.0,2760,5566.858898
19.0,1659,5599.100727
20.0,1567,5629.715507
20.0,1563,5660.078732
17.0,2270,5703.923558
20.0,2085,5744.327266
18.0,2128,5785.797928
13.0,2751,5839.252545
20.0,1561,5869.786941
18.0,1878,5906.176338
20.0,2052,5946.193514
20.0,2007,5985.180613
20.0,1564,6015.748755
19.0,2201,6058.656278
20.0,2766,6112.411048
20.0,2087,6153.03017
20.0,2005,6192.109614
19.0,1660,6224.142949
19.0,1661,6256.32842
18.0,2281,6300.612311
19.0,2194,6343.113367
20.0,2032,6382.364165
6.0,3191,6444.425658
17.0,2363,6490.32235
20.0,2033,6529.8566
20.0,2065,6570.036858
20.0,2777,6623.866928
18.0,2245,6667.741411
20.0,1644,6699.712517
19.0,2378,6745.663102
20.0,2002,6784.628203
20.0,2063,6824.927442
20.0,2110,6865.828795
20.0,2760,6919.241956
20.0,2005,6958.013555
16.0,2321,7003.053105
20.0,1634,7034.68253
21.0,1975,7073.300993
19.0,2110,7114.125273
20.0,1566,7144.69158
20.0,2044,7183.906187
20.0,2794,7238.25864
19.0,2113,7279.009579
19.0,2190,7321.418519
17.0,2416,7368.333268
20.0,1561,7398.884582
19.0,1872,7435.106877
20.0,2155,7477.102072
