#{"t_start": 1511327526.0986507, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,814,27.734936
-19.0,1018,55.931176
-21.0,764,76.834677
-21.0,761,97.878919
-21.0,758,118.997082
-21.0,779,140.459597
-20.0,839,163.366072
-20.0,924,188.79598
-21.0,789,210.65567
-19.0,956,236.990826
-19.0,1031,265.288306
-21.0,1000,293.158565
-20.0,900,317.814476
-20.0,866,341.931015
-19.0,1101,372.423252
-18.0,1208,405.850022
-21.0,846,429.167942
-19.0,1202,462.236381
-17.0,1579,505.886041
-13.0,2126,564.50655
-14.0,2324,629.378766
-16.0,2023,685.559448
-21.0,762,706.719405
-21.0,759,727.8867
-21.0,1186,760.996195
17.0,2395,827.062984
-15.0,2981,909.719141
2.0,3374,1004.023183
19.0,1634,1049.497429
20.0,2005,1105.37041
18.0,2236,1167.0788
17.0,1971,1221.831863
13.0,2438,1289.601342
20.0,1567,1332.859928
15.0,2359,1398.129113
15.0,2333,1462.624094
19.0,1751,1510.751435
20.0,1995,1566.359727
19.0,1696,1612.944977
16.0,2247,1675.100404
20.0,2050,1731.321616
7.0,3089,1816.416278
16.0,2281,1879.777382
15.0,1933,1933.285226
19.0,1727,1980.92176
16.0,2192,2041.86286
20.0,2006,2097.246532
21.0,1970,2152.196652
20.0,1567,2195.719992
17.0,2107,2254.122109
18.0,2025,2309.971627
12.0,2972,2392.19339
20.0,2001,2447.796456
20.0,1564,2490.933479
19.0,1690,2538.031318
20.0,1997,2593.541384
21.0,2033,2649.86696
14.0,2499,2719.318613
20.0,2001,2774.623996
20.0,1564,2817.509986
14.0,2129,2876.339412
13.0,2213,2937.528475
20.0,1720,2984.992402
20.0,1993,3040.161566
17.0,2176,3092.737393
18.0,2029,3134.223923
20.0,2002,3174.731289
13.0,2639,3228.119644
17.0,2204,3272.826098
20.0,1567,3304.541349
17.0,2133,3347.578784
19.0,2014,3388.435724
20.0,2035,3429.803536
13.0,2586,3482.364788
20.0,1566,3514.224929
16.0,2122,3557.247642
20.0,2002,3597.888697
20.0,1561,3629.370758
16.0,2929,3688.801889
20.0,1860,3726.605172
16.0,3405,3795.672774
20.0,2006,3836.403933
20.0,2022,3877.485194
20.0,1567,3908.998311
20.0,2460,3959.053458
20.0,1566,3990.847199
20.0,2007,4031.467617
14.0,2724,4086.94486
20.0,2001,4127.704459
20.0,1562,4159.393381
20.0,1562,4191.192856
18.0,3153,4255.283953
20.0,2006,4295.872763
20.0,1992,4336.179346
20.0,2033,4377.439353
15.0,3266,4444.018147
20.0,3056,4505.84033
18.0,1818,4542.685227
19.0,2053,4584.175757
20.0,2037,4625.370817
20.0,3139,4689.193959
20.0,2004,4729.826187
20.0,1996,4770.312288
17.0,3123,4833.627592
20.0,2004,4874.272393
19.0,3089,4937.402874
20.0,1991,4977.933713
19.0,1983,5018.035309
21.0,1991,5058.612074
20.0,2023,5099.734954
18.0,2295,5146.181292
20.0,1565,5178.022189
20.0,2143,5221.490929
20.0,2176,5265.474712
20.0,2007,5306.399292
16.0,2149,5349.99347
20.0,1992,5390.323429
20.0,2030,5431.587844
20.0,1990,5472.010921
19.0,2071,5514.318228
17.0,2209,5559.174506
20.0,2003,5599.803657
20.0,2001,5640.384878
20.0,1591,5672.690226
20.0,1562,5704.467885
21.0,3042,5766.339302
20.0,3058,5828.54679
20.0,1565,5860.20553
20.0,1566,5892.216042
19.0,3034,5953.478218
17.0,2109,5996.665955
20.0,1994,6037.144437
18.0,2216,6082.122115
20.0,3060,6144.352261
20.0,1993,6184.65361
19.0,2117,6227.700006
20.0,3056,6289.666929
20.0,1651,6323.147275
19.0,2218,6368.218186
18.0,3065,6430.136427
20.0,1996,6470.616653
20.0,3060,6532.938277
20.0,3056,6594.736523
20.0,2004,6635.456644
20.0,2007,6676.162462
19.0,3093,6738.961781
20.0,1995,6779.526969
20.0,1564,6811.288605
20.0,2002,6851.912819
20.0,1623,6884.888511
20.0,1996,6925.617374
19.0,3242,6991.547429
20.0,2002,7032.387899
20.0,2004,7073.22999
19.0,3095,7136.133439
20.0,3057,7198.061866
20.0,1651,7231.447596
20.0,2003,7272.026623
20.0,2096,7314.565725
19.0,2093,7357.299739
20.0,1567,7388.955757
20.0,3057,7451.17416
19.0,3089,7516.80658
18.0,1744,7551.622003
20.0,1562,7582.517191
20.0,1561,7613.377759
20.0,1564,7643.293181
19.0,3032,7701.787755
20.0,1563,7732.022832
20.0,2001,7773.330345
