#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.5896647, "gym_version": "0.9.3"}
r,l,t
-21.0,763,14.436034
-20.0,1142,32.168941
-21.0,879,45.562324
-20.0,960,60.227347
-21.0,879,77.04678
-21.0,825,98.497562
-21.0,790,119.1533
-19.0,990,145.380064
-21.0,935,170.480311
-20.0,957,195.863625
-18.0,1154,226.507209
-21.0,821,248.223177
-19.0,930,272.689409
-20.0,1047,300.189449
-20.0,910,324.474603
-20.0,1210,356.651881
-18.0,1259,390.225218
-18.0,1651,433.853621
-21.0,1114,463.33042
-20.0,1421,500.914101
-15.0,1933,552.231659
-10.0,2317,614.090912
-7.0,2381,677.635264
-4.0,2695,749.10811
13.0,1979,801.683673
-6.0,2648,872.106618
-11.0,2188,930.369913
16.0,2120,987.324568
20.0,1566,1029.292822
19.0,1726,1075.017246
19.0,2100,1130.77411
18.0,1766,1177.851596
19.0,2047,1232.612639
19.0,1717,1278.506038
21.0,1590,1321.013328
20.0,2000,1374.936245
16.0,2419,1439.35287
18.0,1802,1487.552319
20.0,1625,1531.264491
20.0,2030,1584.864903
14.0,2530,1652.273828
16.0,2503,1718.74378
20.0,1562,1760.46889
20.0,2001,1814.286987
18.0,1857,1863.738226
20.0,2001,1917.125175
19.0,2042,1971.37805
20.0,1668,2015.980037
18.0,2127,2072.736445
17.0,2313,2134.214385
20.0,2003,2187.168606
21.0,2049,2242.004163
4.0,3124,2325.169431
19.0,2146,2382.706496
20.0,1567,2424.675293
19.0,2082,2480.653939
20.0,1626,2524.506547
20.0,1562,2566.132579
20.0,1562,2608.069221
19.0,1634,2652.071604
19.0,1656,2696.228563
20.0,2102,2752.018828
18.0,1719,2797.816716
18.0,2044,2852.043906
20.0,2003,2905.703811
18.0,2147,2962.921305
17.0,1870,3012.711161
18.0,1875,3062.499687
18.0,2166,3120.078803
18.0,1785,3160.380081
14.0,2393,3206.890506
16.0,3104,3267.126468
19.0,1709,3300.346554
19.0,2185,3343.252859
19.0,2048,3383.160243
20.0,1654,3415.408461
19.0,1989,3454.103497
19.0,2521,3502.911286
20.0,2006,3542.041723
20.0,2006,3581.097516
19.0,2040,3620.917628
20.0,2066,3661.148515
18.0,2254,3705.020916
20.0,1561,3735.377789
20.0,2006,3774.652143
18.0,2290,3819.330581
12.0,2544,3869.041237
19.0,3031,3928.505898
20.0,2794,3982.594342
20.0,2789,4036.969269
20.0,1681,4069.94153
18.0,1823,4105.416486
20.0,2002,4144.278161
17.0,2213,4187.057982
18.0,2176,4229.568718
20.0,2007,4268.715504
20.0,2031,4308.094207
19.0,2842,4363.429325
19.0,1659,4395.50133
19.0,1662,4427.602726
20.0,1562,4458.012269
18.0,2206,4501.42075
20.0,2773,4555.406174
7.0,3327,4619.728256
18.0,2048,4659.609393
20.0,2003,4698.750192
20.0,1595,4730.13158
19.0,2856,4785.887756
20.0,2004,4824.649146
20.0,2790,4879.198279
20.0,2005,4918.326226
19.0,2085,4958.647577
19.0,2751,5011.972746
20.0,1566,5042.634674
18.0,2232,5086.00771
19.0,1657,5118.152812
20.0,1561,5148.695694
20.0,1564,5179.260791
18.0,2085,5219.807009
20.0,1567,5250.42068
18.0,2199,5293.069774
18.0,2312,5338.337678
19.0,2912,5395.193057
21.0,2724,5448.056173
20.0,2772,5502.05721
20.0,1564,5532.364217
19.0,2747,5585.768869
20.0,2004,5624.848837
20.0,1566,5655.264752
19.0,2206,5697.78121
20.0,2002,5736.778914
19.0,2217,5779.89458
20.0,2011,5818.789288
20.0,2758,5872.786209
20.0,2753,5926.127427
19.0,1623,5957.844725
20.0,1567,5988.18606
20.0,1561,6018.762805
20.0,2001,6057.68784
20.0,2001,6096.448272
20.0,2790,6150.907157
17.0,2412,6197.821644
20.0,2778,6251.622585
20.0,2003,6290.407772
17.0,2439,6337.805098
20.0,2790,6391.810388
20.0,1563,6422.173027
20.0,2774,6475.998473
20.0,2058,6516.034484
18.0,2422,6563.203357
19.0,2109,6604.002426
17.0,2384,6650.528617
20.0,2852,6706.050093
19.0,2123,6747.057354
20.0,2052,6786.95469
19.0,2116,6828.297119
20.0,2004,6867.21437
19.0,2910,6923.378963
20.0,2005,6962.183086
19.0,2276,7006.4887
19.0,2124,7047.560839
20.0,1567,7078.278445
20.0,1561,7108.492053
18.0,2249,7152.106639
20.0,1564,7182.200521
18.0,2243,7225.657419
19.0,2148,7267.327656
20.0,2007,7306.164358
20.0,2143,7347.766492
19.0,2250,7391.457493
19.0,1891,7428.173271
18.0,2248,7471.906883
