#{"t_start": 1511327526.6763847, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,806,26.973585
-20.0,921,52.428143
-20.0,868,76.207935
-21.0,763,97.355159
-21.0,757,118.425425
-21.0,825,141.128444
-20.0,870,164.861401
-20.0,863,188.595292
-21.0,762,209.714625
-20.0,913,234.865063
-20.0,985,262.023422
-21.0,841,285.325232
-21.0,909,310.320053
-19.0,1048,339.546702
-18.0,1175,372.007221
-19.0,1227,406.003149
-18.0,1280,441.270015
-17.0,1444,481.186718
-20.0,1699,527.816005
-16.0,2311,592.143072
-15.0,2180,652.643868
-16.0,1300,688.851025
-21.0,760,710.015668
-21.0,759,731.148047
-20.0,902,756.437792
-12.0,2620,828.651329
-14.0,3446,924.201835
8.0,2646,998.296171
6.0,3289,1089.877442
17.0,2130,1148.889464
16.0,1939,1202.498837
20.0,1562,1245.960018
20.0,1567,1289.546906
8.0,3152,1376.5631
18.0,1969,1431.128084
20.0,2031,1486.895303
18.0,2172,1547.220267
20.0,2006,1602.76532
19.0,2047,1659.386237
20.0,2001,1714.470243
15.0,2083,1771.585965
19.0,2195,1831.956017
19.0,2148,1891.797
19.0,2081,1949.231928
17.0,2019,2005.341447
19.0,2072,2062.770593
19.0,1684,2109.249995
20.0,2004,2165.147294
13.0,2711,2240.39838
19.0,1685,2286.928901
18.0,1815,2336.932667
16.0,2115,2395.648121
18.0,1784,2445.10416
16.0,2543,2515.66226
19.0,1954,2569.927993
17.0,2148,2629.531287
20.0,2005,2685.302212
20.0,1991,2740.471433
20.0,1997,2795.485894
18.0,2248,2857.467577
20.0,2006,2912.882328
17.0,2140,2971.85901
19.0,2042,3028.4065
17.0,1818,3075.325195
20.0,1594,3109.15584
20.0,2002,3149.910035
17.0,2282,3196.276631
14.0,2425,3245.239983
20.0,2004,3285.860011
18.0,2064,3327.649043
20.0,2056,3369.153948
20.0,1992,3409.679497
20.0,1561,3441.427963
20.0,2004,3482.066787
19.0,2076,3524.32032
15.0,2030,3565.305939
18.0,2087,3607.712218
18.0,1954,3647.140078
19.0,2043,3688.645956
13.0,3094,3751.472339
19.0,2083,3793.785338
18.0,2152,3837.474782
16.0,1923,3876.516527
20.0,3000,3937.177785
20.0,3091,4000.016114
20.0,1582,4031.977267
20.0,1564,4063.800504
20.0,1684,4098.153197
20.0,3135,4161.906325
20.0,3061,4224.239055
19.0,2049,4265.838227
20.0,1566,4297.528379
17.0,2157,4341.045548
19.0,2875,4399.508126
20.0,1563,4431.437497
20.0,2004,4472.181144
19.0,3116,4535.206167
19.0,2578,4587.230381
20.0,2001,4627.771804
20.0,2007,4668.521219
20.0,2005,4709.179843
20.0,2000,4749.686153
19.0,2145,4793.382056
19.0,2640,4846.703646
19.0,2634,4900.365914
20.0,2019,4941.624126
19.0,2052,4983.462981
18.0,2155,5027.009316
20.0,1565,5058.958954
20.0,2052,5100.690541
19.0,3129,5164.229657
18.0,2159,5207.927338
20.0,3091,5270.419582
20.0,2004,5311.512496
20.0,1565,5343.015305
19.0,2026,5384.136419
20.0,3060,5446.316421
20.0,1991,5486.845559
18.0,1934,5526.313694
20.0,2004,5567.07075
21.0,3045,5628.758208
20.0,3059,5691.035307
20.0,2004,5731.860788
20.0,3099,5794.805206
20.0,2006,5835.572843
21.0,1989,5875.897456
20.0,3062,5937.973714
17.0,3148,6002.094542
20.0,1996,6042.701648
19.0,3154,6106.745083
21.0,3068,6169.030717
19.0,2181,6213.219527
20.0,1562,6244.965804
20.0,2105,6287.546903
20.0,3060,6349.767987
19.0,3032,6411.062235
20.0,1996,6451.513091
19.0,2047,6493.182155
20.0,1564,6524.984071
19.0,3092,6587.607173
20.0,1592,6619.990191
21.0,2002,6660.578627
19.0,2579,6712.655187
20.0,2149,6756.523875
20.0,3092,6819.400417
20.0,1993,6859.873782
20.0,1564,6891.630029
20.0,2007,6932.473032
21.0,3007,6993.610003
20.0,2034,7035.152235
19.0,2261,7081.202938
20.0,1567,7112.973283
20.0,2002,7153.616134
19.0,1769,7189.49871
20.0,1562,7221.062811
20.0,2002,7261.596243
20.0,3136,7325.276724
20.0,1566,7357.283575
20.0,1564,7388.96242
19.0,1676,7422.669248
18.0,3066,7487.800592
18.0,2151,7532.048094
19.0,2054,7571.842039
20.0,3058,7631.673092
20.0,2003,7671.438102
20.0,1992,7708.70154
20.0,2144,7753.737023
