#{"env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3", "t_start": 1511372102.1370127}
r,l,t
-19.0,1012,3.643825
-20.0,991,5.649568
-21.0,761,7.255723
-20.0,912,9.116236
-19.0,1021,11.171737
-20.0,925,12.907502
-20.0,867,14.698801
-20.0,1048,16.794857
-21.0,814,18.508943
-20.0,897,20.350472
-21.0,788,21.83626
-19.0,1142,24.050761
-20.0,1042,26.114891
-20.0,1014,28.159745
-21.0,820,29.881559
-19.0,971,31.866336
-21.0,909,33.820604
-20.0,957,35.676062
-19.0,1040,37.844705
-19.0,1038,40.050647
-21.0,817,41.87361
-21.0,853,43.724913
-18.0,1076,45.945881
-21.0,916,47.88834
-20.0,1081,50.113515
-20.0,952,52.109628
-19.0,1121,54.415581
-20.0,927,56.3804
-21.0,820,57.978845
-20.0,926,59.945812
-21.0,819,61.742662
-20.0,985,63.611378
-20.0,1003,65.687477
-20.0,971,67.728189
-20.0,895,69.689542
-21.0,819,71.453975
-21.0,842,73.076777
-19.0,1083,75.293096
-21.0,923,77.302576
-21.0,999,79.369461
-19.0,931,81.33586
-20.0,836,83.140292
-21.0,968,84.94329
-21.0,839,86.767569
-20.0,924,88.759819
-20.0,837,90.596476
-20.0,904,92.333262
-21.0,850,94.184618
-19.0,941,96.169316
-21.0,896,98.0762
-21.0,874,99.736648
-21.0,780,101.457423
-20.0,974,103.501647
-21.0,822,105.054073
-20.0,942,107.032912
-21.0,1153,109.373085
-19.0,997,111.471171
-19.0,993,113.540866
-20.0,878,115.43893
-19.0,1097,117.695724
-21.0,819,119.479888
-17.0,1237,121.919128
-19.0,1058,124.080987
-21.0,843,125.912584
-21.0,944,127.898485
-20.0,923,129.666975
-20.0,857,131.529358
-19.0,1394,134.494345
-20.0,1014,136.614612
-21.0,848,138.214536
-21.0,821,140.019961
-21.0,880,141.911883
-21.0,822,143.499452
-20.0,1005,145.635366
-21.0,938,147.650342
-18.0,1132,149.977674
-20.0,1047,152.152354
-19.0,984,154.22927
-21.0,882,156.123684
-21.0,881,158.040767
-20.0,863,159.684111
-19.0,1080,162.151407
-21.0,823,163.74828
-20.0,837,165.556863
-21.0,822,167.125805
-21.0,849,169.018687
-19.0,935,171.028265
-21.0,818,172.693998
-19.0,1094,175.12793
-20.0,994,177.202977
-20.0,970,179.016387
-20.0,835,180.848469
-20.0,1174,183.23094
-19.0,1068,185.418622
-21.0,822,187.209406
-20.0,1049,189.378621
-19.0,961,191.4004
-21.0,880,193.279543
-19.0,1026,195.431186
-21.0,820,197.050398
-20.0,1005,199.107368
-19.0,913,201.033036
-21.0,938,203.027476
-21.0,778,204.532225
-20.0,833,206.344361
-21.0,776,207.852779
-21.0,788,209.639857
-19.0,928,211.624286
-21.0,809,213.182935
-21.0,825,214.998681
-20.0,984,217.075175
-21.0,780,218.602509
-21.0,777,220.318423
-20.0,1001,222.394326
-21.0,792,223.92727
-19.0,977,226.002241
-21.0,780,227.708827
-21.0,943,229.700043
-17.0,1252,232.217286
-20.0,950,234.22908
-21.0,821,236.044555
-19.0,993,238.133097
-21.0,839,239.736197
-21.0,792,241.47457
-21.0,818,243.057098
